ZIP_Code	CITY_NAME	ST_ABBREV	SERVICE_Avail
41001	Alexandria	Kentucky - KY	FIBER
41001	Claryville	Kentucky - KY	FIBER
41001	Grants Lick	Kentucky - KY	FIBER
41005	Bullittsville	Kentucky - KY	FIBER
41005	Camp Ernest	Kentucky - KY	FIBER
41005	Idlewild	Kentucky - KY	FIBER
41005	Belleview	Kentucky - KY	FIBER
41005	Limaburg	Kentucky - KY	FIBER
41005	McVille	Kentucky - KY	FIBER
41005	Burlington	Kentucky - KY	FIBER
41005	Rabbit Hash	Kentucky - KY	FIBER
41006	Carntown	Kentucky - KY	FIBER
41006	Mount Auburn	Kentucky - KY	FIBER
41006	Peachgrove	Kentucky - KY	FIBER
41006	Pleasant Hill	Kentucky - KY	FIBER
41006	Butler	Kentucky - KY	FIBER
41007	Carthage	Kentucky - KY	FIBER
41007	California	Kentucky - KY	FIBER
41007	Flagg Spring	Kentucky - KY	FIBER
41007	Mentor	Kentucky - KY	FIBER
41007	Gubser Mill	Kentucky - KY	FIBER
41010	Blanchet	Kentucky - KY	FIBER
41010	Owen	Kentucky - KY	FIBER
41010	Corinth	Kentucky - KY	FIBER
41011	Cov	Kentucky - KY	FIBER
41011	Covington	Kentucky - KY	FIBER
41011	Decoursey	Kentucky - KY	FIBER
41011	Fort Mitchell	Kentucky - KY	FIBER
41011	Fort Wright	Kentucky - KY	FIBER
41011	Park Hills	Kentucky - KY	FIBER
41011	Lookout Heights	Kentucky - KY	FIBER
41011	Kenton Hills	Kentucky - KY	FIBER
41012	Covington	Kentucky - KY	FIBER
41014	Covington	Kentucky - KY	FIBER
41014	Rouse	Kentucky - KY	FIBER
41015	Rosedale	Kentucky - KY	FIBER
41015	Taylor Mill	Kentucky - KY	FIBER
41015	Kentonvale	Kentucky - KY	FIBER
41015	Covington	Kentucky - KY	FIBER
41015	Latonia	Kentucky - KY	FIBER
41015	Ryland Hgts	Kentucky - KY	FIBER
41015	Ryland Hght	Kentucky - KY	FIBER
41015	Latonia Lakes	Kentucky - KY	FIBER
41015	Ryland	Kentucky - KY	FIBER
41015	Latonia Lks	Kentucky - KY	FIBER
41015	Ryland Heights	Kentucky - KY	FIBER
41016	Bromley	Kentucky - KY	FIBER
41016	Covington	Kentucky - KY	FIBER
41016	Ludlow	Kentucky - KY	FIBER
41017	Crescent Springs	Kentucky - KY	FIBER
41017	Dixie	Kentucky - KY	FIBER
41017	Crestview Hls	Kentucky - KY	FIBER
41017	Crestview Hills	Kentucky - KY	FIBER
41017	Villa Hills	Kentucky - KY	FIBER
41017	South Ft Mitchell	Kentucky - KY	FIBER
41017	South Fort Mitchell	Kentucky - KY	FIBER
41017	So Fort Mitchell	Kentucky - KY	FIBER
41017	Lakeside Park	Kentucky - KY	FIBER
41017	Fort Wright	Kentucky - KY	FIBER
