Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)
att stores	USD	5000000	0%	0%	Low	10	0.70	6.00
at &t store	USD	5000000	0%	0%	Low	10	0.70	6.00
at&t superstore	USD	5000000	0%	0%	Low	10	0.70	6.00
att prepaid	USD	500000	0%	0%	Medium	58	1.66	20.07
att wireless	USD	500000	0%	0%	Medium	60	3.50	14.97
at and t prepaid	USD	500000	0%	0%	Medium	58	1.66	20.07
at t prepaid	USD	500000	0%	0%	Medium	58	1.66	20.07
at&t help number	USD	500000	0%	0%	Medium	34	0.32	1.26
at&t number customer service	USD	500000	0%	0%	Medium	34	0.32	1.26
at & t prepaid	USD	500000	0%	0%	Medium	58	1.66	20.07
at& t near me	USD	500000	0%	0%	Low	32	1.20	5.55
at at prepaid	USD	500000	0%	0%	Medium	58	1.66	20.07
attstore near me	USD	500000	0%	0%	Low	29	0.44	3.08
at&t & t near me	USD	500000	0%	0%	Low	32	1.20	5.55
att and wireless	USD	500000	0%	0%	Medium	60	3.50	14.97
at&t prepaidsm	USD	500000	0%	0%	Medium	58	1.66	20.07
at & t pre paid	USD	500000	0%	0%	Medium	58	1.66	20.07
customer care att number	USD	500000	0%	0%	Medium	34	0.32	1.26
att and t stores near me	USD	500000	0%	0%	Low	29	0.44	3.08
prepaid at & t	USD	500000	0%	0%	Medium	58	1.66	20.07
at&t and customer service number	USD	500000	0%	0%	Medium	34	0.32	1.26
at&t internet customer service	USD	50000	0%	0%	Medium	40	0.83	3.86
att prepaid plans	USD	50000	0%	0%	Medium	49	3.51	21.59
att internet customer service	USD	50000	0%	0%	Medium	41	1.15	3.65
at&t phones	USD	50000	0%	0%	High	100	1.72	10.08
at&t new customer deals	USD	50000	0%	900%	High	100	2.43	12.98
att phone deals	USD	50000	0%	0%	High	100	1.13	6.92
att support	USD	50000	0%	0%	Medium	37	0.26	0.80
att deals	USD	50000	0%	0%	High	74	0.22	6.41
att prepaid phones	USD	50000	0%	0%	High	95	0.39	11.60
at&t promotions	USD	50000	0%	0%	Medium	57	0.76	3.78
call at&t customer service	USD	50000	0%	0%	Medium	39	0.30	1.21
att promotion	USD	50000	0%	0%	Medium	57	0.76	3.78
at&t customer support	USD	50000	0%	0%	Low	33	0.32	1.02
at&t cell phone deals	USD	50000	0%	900%	High	74	1.07	6.13
att locations	USD	50000	-90%	0%	Low	30	0.79	5.00
att cell phones	USD	50000	0%	0%	High	93	1.57	9.07
at&t support number	USD	50000	0%	0%	Low	28	0.29	0.91
at&t unlimited plans	USD	50000	0%	0%	Low	21	1.51	10.98
at&t atencion al cliente	USD	50000	0%	0%	Medium	51	0.57	1.42
at&t prepaid phone plans	USD	50000	0%	0%	Low	18	2.61	19.50
