Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)
at&t fiber internet	USD	500000	0%	900%	Low	14	2.84	9.73
at&t fiber	USD	500000	0%	0%	Medium	40	3.11	9.27
att fiber internet plans	USD	500000	0%	0%	Low	2	1.96	9.05
att internet	USD	500000	0%	0%	Medium	37	3.74	11.98
att and t fiber	USD	500000	0%	0%	Medium	40	3.11	9.27
att fiber internet packages	USD	500000	0%	0%	Low	2	1.96	9.05
at&t internet at&t internet	USD	500000	0%	0%	Medium	37	3.74	11.98
at & t fiber	USD	500000	0%	0%	Medium	40	3.11	9.27
at&t fiber plans	USD	50000	0%	900%	Low	12	1.43	8.00
att fiber packages	USD	50000	0%	900%	Low	12	1.43	8.00
att fiber availability	USD	50000	0%	0%	Low	29	1.86	8.51
att home internet	USD	50000	0%	0%	Medium	48	2.72	12.18
at&t internet plans	USD	50000	0%	0%	Low	25	2.20	8.80
att fiber home internet	USD	50000	0%	9900%	Low	1	2.57	10.00
at&t fiber in my area	USD	50000	0%	-90%	Medium	43	2.05	10.67
att wifi plans	USD	50000	0%	0%	Medium	36	2.63	12.77
at&t internet availability	USD	50000	0%	-90%	Low	21	2.51	12.00
att wifi	USD	50000	0%	0%	Medium	52	3.29	15.64
att internet provider	USD	50000	0%	0%	Low	20	2.86	10.64
att cable	USD	50000	0%	-90%	Medium	52	1.59	5.85
fiber internet plans	USD	50000	900%	9900%	Low	1	4.58	17.58
fiber internet	USD	50000	0%	0%	Medium	35	5.68	21.32
att wifi packages	USD	50000	0%	0%	Medium	36	2.63	12.77
at&t house internet	USD	50000	0%	0%	Medium	48	2.72	12.18
fiberglass internet	USD	50000	0%	0%	Medium	35	5.68	21.32
fiber high speed internet	USD	50000	900%	99900%	Low	0	6.03	25.00
at&t internet service business	USD	50000	0%	900%	Medium	41	8.10	65.74
fiber optic high speed internet	USD	50000	0%	9900%	Low	0	5.38	22.70
internet availability att	USD	50000	0%	-90%	Low	21	2.51	12.00
att home and internet	USD	50000	0%	0%	Medium	48	2.72	12.18
att and wifi	USD	50000	0%	0%	Medium	52	3.29	15.64
fiberwire internet	USD	50000	0%	0%	Medium	35	5.68	21.32
fiber optic internet plans	USD	50000	900%	9900%	Low	1	4.58	17.58
at and t fiber	USD	5000	0%	0%	Medium	36	2.72	18.59
att fiber optic internet	USD	5000	0%	0%	Low	14	2.40	8.00
att fiber optic	USD	5000	0%	0%	Medium	40	2.53	9.03
att fiber cost	USD	5000	0%	0%	Medium	37	0.96	5.78
att fiber speeds	USD	5000	0%	0%	Low	24	0.92	6.36
att fiber price	USD	5000	0%	0%	Medium	37	0.96	5.78
att high speed internet	USD	5000	0%	0%	Medium	42	2.68	10.31
at&t fiber wifi	USD	5000	0%	900%	Low	14	3.60	13.51
att fiber deals	USD	5000	0%	0%	Medium	44	2.00	5.55
att fiber internet availability	USD	5000	0%	0%	Low	20	1.84	8.37
at and t internet	USD	5000	0%	0%	Medium	44	2.92	13.94
at&t fiber reviews	USD	5000	0%	0%	Low	15	4.81	51.22
at and t home internet	USD	5000	0%	0%	Medium	61	3.16	14.86
att fiber check	USD	5000	0%	0%	Low	18	1.98	12.00
att cable internet	USD	5000	0%	0%	Medium	52	2.65	8.00
att home internet plans	USD	5000	0%	0%	Medium	47	2.20	10.62
att broadband	USD	5000	0%	0%	Low	24	2.17	8.00
att internet and cable	USD	5000	0%	0%	Medium	52	2.65	8.00
at and t internet plans	USD	5000	0%	-90%	Medium	59	2.21	11.54
att fiber rates	USD	5000	0%	0%	Medium	37	0.96	5.78
at&t internet speeds	USD	5000	0%	0%	Low	26	1.38	6.34
att fiber availability check	USD	5000	0%	0%	Low	27	1.60	7.84
at&t fiber near me	USD	5000	900%	0%	Medium	49	2.29	11.69
att internet 1000	USD	5000	0%	0%	Low	15	1.36	11.96
att internet deals	USD	5000	0%	0%	Medium	38	2.00	7.95
at&t wifi service	USD	5000	-90%	-90%	Medium	44	4.65	16.85
at and t wifi	USD	5000	0%	0%	Medium	58	3.35	17.01
at&t fiber promotions	USD	5000	0%	900%	Low	26	2.17	8.00
at&t internet packages	USD	5000	0%	0%	Medium	39	1.70	8.00
att internet 300	USD	5000	-90%	0%	Low	3	1.37	11.99
att internet fiber plans	USD	5000	-90%	0%	Medium	36	2.94	8.42
at&t wireless internet	USD	5000	0%	0%	Medium	34	2.36	11.50
att fiber check availability	USD	5000	0%	0%	Low	30	1.85	8.96
at&t internet prices	USD	5000	900%	900%	Low	9	1.41	6.44
att home wifi	USD	5000	0%	0%	Low	28	3.11	14.77
check att fiber availability	USD	5000	0%	0%	Low	30	1.85	8.96
att internet options	USD	5000	900%	0%	Low	27	1.96	9.70
att availability	USD	5000	0%	0%	Low	14	1.57	8.16
att fiber address check	USD	5000	0%	0%	Medium	41	1.79	7.96
att internet cost	USD	5000	0%	0%	Medium	41	1.36	5.20
att internet 100	USD	5000	0%	900%	Low	5	1.49	14.40
at&t fiber installation	USD	5000	0%	0%	Low	16	3.63	19.91
at&t internet reviews	USD	5000	0%	0%	Low	22	3.57	22.39
att internet 500	USD	5000	-90%	-90%	Low	14	1.29	12.51
at&t wireless home internet	USD	5000	0%	0%	Medium	37	2.49	12.04
att internet plans pricing	USD	5000	0%	0%	Medium	52	2.17	8.00
att fiber check address	USD	5000	0%	0%	Medium	41	1.79	7.96
at&t internet availability by address	USD	5000	0%	900%	Low	30	2.44	12.00
att internet in my area	USD	5000	-90%	-90%	Medium	53	2.42	9.08
at&t 5g home internet	USD	5000	0%	0%	Medium	43	1.62	7.54
att check availability	USD	5000	0%	0%	Low	21	2.12	10.99
att uverse internet	USD	5000	0%	0%	Low	20	2.30	12.57
att fiber promo code	USD	5000	0%	0%	Low	28	2.00	8.00
at&t internet promotions	USD	5000	-90%	-90%	Medium	55	2.00	8.00
att fiber map	USD	5000	0%	0%	Low	23	1.53	8.00
att business fiber	USD	5000	0%	0%	Medium	44	7.97	81.96
at&t fiber availability by address	USD	5000	0%	900%	Low	29	1.90	8.00
fiber optic cable internet	USD	5000	0%	0%	High	84	0.97	13.50
fiber optics internet	USD	5000	0%	0%	Medium	45	5.08	23.25
fiber optic wifi	USD	5000	0%	0%	Medium	60	6.00	27.47
att broadband internet	USD	5000	0%	0%	Low	24	2.17	8.00
at&t internet near me	USD	5000	0%	0%	Medium	54	3.26	10.59
fiber optic broadband	USD	5000	0%	900%	Low	3	4.67	19.16
fiber availability	USD	5000	0%	0%	Medium	54	2.06	17.47
at&t internet wifi	USD	5000	900%	0%	Medium	43	2.66	14.22
fiber wifi	USD	5000	0%	0%	High	70	6.67	23.67
att fiber internet deals	USD	5000	0%	900%	Low	6	2.00	6.33
at&t fiber availability check	USD	5000	0%	0%	Low	27	1.60	7.84
at&t fiber availability map	USD	5000	0%	0%	Low	24	1.78	8.00
at&t wifi prices	USD	5000	0%	0%	Medium	39	1.51	7.73
u verse internet	USD	5000	0%	-90%	Low	33	1.73	10.51
fiber home internet	USD	5000	0%	900%	Low	29	5.95	24.61
at&t internet san diego	USD	5000	0%	0%	Low	23	2.91	40.99
check at&t fiber availability	USD	5000	0%	0%	Low	30	1.85	8.96
att fiber availability by address	USD	5000	0%	900%	Low	29	1.90	8.00
at&t home	USD	5000	0%	0%	Medium	40	1.76	10.62
att internet check	USD	5000	0%	0%	Low	17	1.76	15.51
at&t satellite internet	USD	5000	0%	-90%	Medium	44	1.68	8.00
att fiber los angeles	USD	5000	0%	0%	Low	27	2.82	40.74
at&t dsl	USD	5000	0%	-90%	Low	28	1.75	8.10
att all fi	USD	5000	-90%	-90%	Low	30	2.36	10.73
att fiber bundle	USD	5000	-90%	0%	Low	4	1.81	9.51
internet 300 att	USD	5000	-90%	0%	Low	3	1.37	11.99
at&t all fi	USD	5000	-90%	-90%	Low	30	2.36	10.73
att wifi cost	USD	5000	0%	0%	Medium	39	1.51	7.73
fiber optic internet speed	USD	5000	0%	0%	Low	24	2.16	11.00
att and internet	USD	5000	0%	0%	Medium	43	2.45	9.84
internet 100 att	USD	5000	0%	900%	Low	5	1.49	14.40
at and t internet packages	USD	5000	0%	-90%	Medium	59	2.21	11.54
at&t access internet	USD	5000	0%	0%	Low	19	2.86	14.61
at&t internet los angeles	USD	5000	0%	-90%	Low	19	2.70	50.77
at&t internet plans and prices	USD	5000	0%	0%	Medium	52	2.17	8.00
att business fiber internet	USD	5000	-90%	0%	Low	15	12.00	204.05
wifi at&t	USD	5000	0%	-90%	Medium	65	2.34	15.70
at&t internet home internet	USD	5000	9900%	9900%	Low	3	2.46	10.78
at&t internet check availability	USD	5000	0%	900%	Low	24	3.00	13.06
att fiber internet 300	USD	5000	-90%	0%	Low	7	3.51	240.55
att wifi speeds	USD	5000	0%	0%	Low	7	1.14	7.34
at&t 5g internet	USD	5000	0%	0%	Medium	48	1.90	8.70
fiber internet price	USD	5000	0%	900%	Low	15	2.10	12.58
fiber connection internet	USD	5000	0%	900%	Low	8	3.77	18.85
att fiber availability address	USD	5000	0%	900%	Low	29	1.90	8.00
at&t internet dallas	USD	5000	0%	0%	Low	6	4.97	123.65
att check internet availability	USD	5000	0%	900%	Low	24	3.00	13.06
fiber internet speeds	USD	5000	0%	0%	Low	24	2.16	11.00
att 100 internet	USD	5000	0%	900%	Low	5	1.49	14.40
att 300 internet	USD	5000	-90%	0%	Low	3	1.37	11.99
at&t internet promo	USD	5000	-90%	-90%	Medium	55	2.00	8.00
att internet and wifi	USD	5000	900%	0%	Medium	43	2.66	14.22
at&t tv internet	USD	5000	0%	0%	Low	20	2.30	12.57
att internet wireless	USD	5000	900%	0%	Medium	43	2.66	14.22
home internet fiber	USD	5000	0%	900%	Low	29	5.95	24.61
