ZIP_Code	CITY_NAME	ST_ABBREV	SERVICE_Avail
35801	Huntsville	AL	FIBER
36117	Montgomery	AL	FIBER
35810	Huntsville	AL	FIBER
35803	Huntsville	AL	FIBER
36109	Montgomery	AL	FIBER
35763	Owens Cross Roads	AL	FIBER
72204	Little Rock	AR	FIBER
72762	Springdale	AR	FIBER
72701	Fayetteville	AR	FIBER
72209	Little Rock	AR	FIBER
95969	Paradise	CA	FIBER
94112	San Francisco	CA	FIBER
94122	San Francisco	CA	FIBER
90280	South Gate	CA	FIBER
90026	Los Angeles	CA	FIBER
94110	San Francisco	CA	FIBER
90255	Huntington Park	CA	FIBER
94121	San Francisco	CA	FIBER
90022	Los Angeles	CA	FIBER
94501	Alameda	CA	FIBER
90201	Bell Gardens	CA	FIBER
94116	San Francisco	CA	FIBER
94605	Oakland	CA	FIBER
94806	San Pablo	CA	FIBER
94608	Emeryville	CA	FIBER
90044	Los Angeles	CA	FIBER
93306	Bakersfield	CA	FIBER
94577	San Leandro	CA	FIBER
90011	Los Angeles	CA	FIBER
90047	Los Angeles	CA	FIBER
95062	Santa Cruz	CA	FIBER
94601	Oakland	CA	FIBER
92109	San Diego	CA	FIBER
90016	Los Angeles	CA	FIBER
94541	Hayward	CA	FIBER
94080	South San Francisco	CA	FIBER
95112	San Jose	CA	FIBER
94118	San Francisco	CA	FIBER
92104	San Diego	CA	FIBER
94513	Brentwood	CA	FIBER
94565	Pittsburg	CA	FIBER
95060	Santa Cruz	CA	FIBER
94804	Richmond	CA	FIBER
90018	Los Angeles	CA	FIBER
94801	Richmond	CA	FIBER
94603	Oakland	CA	FIBER
90043	Los Angeles	CA	FIBER
94941	Mill Valley	CA	FIBER
95125	San Jose	CA	FIBER
93304	Bakersfield	CA	FIBER
90003	Los Angeles	CA	FIBER
94114	San Francisco	CA	FIBER
90019	Los Angeles	CA	FIBER
95127	San Jose	CA	FIBER
90002	Los Angeles	CA	FIBER
94591	Vallejo	CA	FIBER
92116	San Diego	CA	FIBER
94061	Redwood City	CA	FIBER
94559	Napa	CA	FIBER
90036	Los Angeles	CA	FIBER
94609	Oakland	CA	FIBER
93702	Fresno	CA	FIBER
93307	Bakersfield	CA	FIBER
94044	Pacifica	CA	FIBER
90023	Los Angeles	CA	FIBER
92620	Irvine	CA	FIBER
94025	Menlo Park	CA	FIBER
94602	Oakland	CA	FIBER
93940	Monterey	CA	FIBER
95350	Modesto	CA	FIBER
93727	Fresno	CA	FIBER
90063	Los Angeles	CA	FIBER
94706	Albany	CA	FIBER
90250	Hawthorne	CA	FIBER
94544	Hayward	CA	FIBER
90001	Los Angeles	CA	FIBER
93308	Bakersfield	CA	FIBER
94070	San Carlos	CA	FIBER
90032	Los Angeles	CA	FIBER
95014	Cupertino	CA	FIBER
94403	San Mateo	CA	FIBER
92103	San Diego	CA	FIBER
94901	San Rafael	CA	FIBER
94536	Fremont	CA	FIBER
95820	Sacramento	CA	FIBER
94131	San Francisco	CA	FIBER
94546	Castro Valley	CA	FIBER
90262	Lynwood	CA	FIBER
93305	Bakersfield	CA	FIBER
92805	Anaheim	CA	FIBER
92115	San Diego	CA	FIBER
94611	Oakland	CA	FIBER
92105	San Diego	CA	FIBER
93291	Visalia	CA	FIBER
93704	Fresno	CA	FIBER
90035	Los Angeles	CA	FIBER
95816	Sacramento	CA	FIBER
94568	Dublin	CA	FIBER
94587	Union City	CA	FIBER
90221	Compton	CA	FIBER
95822	Sacramento	CA	FIBER
95076	Watsonville	CA	FIBER
94606	Oakland	CA	FIBER
94530	El Cerrito	CA	FIBER
94533	Fairfield	CA	FIBER
94124	San Francisco	CA	FIBER
93703	Fresno	CA	FIBER
95128	San Jose	CA	FIBER
95008	Campbell	CA	FIBER
90037	Los Angeles	CA	FIBER
93277	Visalia	CA	FIBER
91001	Altadena	CA	FIBER
94509	Antioch	CA	FIBER
92503	Riverside	CA	FIBER
93726	Fresno	CA	FIBER
90046	Los Angeles	CA	FIBER
94402	San Mateo	CA	FIBER
94578	San Leandro	CA	FIBER
95403	Santa Rosa	CA	FIBER
90033	Los Angeles	CA	FIBER
93705	Fresno	CA	FIBER
95035	Milpitas	CA	FIBER
94705	Berkeley	CA	FIBER
94401	San Mateo	CA	FIBER
92618	Irvine	CA	FIBER
95116	San Jose	CA	FIBER
90059	Los Angeles	CA	FIBER
93619	Clovis	CA	FIBER
91910	Chula Vista	CA	FIBER
91104	Pasadena	CA	FIBER
95670	Rancho Cordova	CA	FIBER
93274	Tulare	CA	FIBER
94002	Belmont	CA	FIBER
94062	Redwood City	CA	FIBER
94086	Sunnyvale	CA	FIBER
95124	San Jose	CA	FIBER
91801	Alhambra	CA	FIBER
91733	South El Monte	CA	FIBER
90744	Wilmington	CA	FIBER
92625	Corona Del Mar	CA	FIBER
93309	Bakersfield	CA	FIBER
95122	San Jose	CA	FIBER
90062	Los Angeles	CA	FIBER
94010	Burlingame	CA	FIBER
94014	Daly City	CA	FIBER
91732	El Monte	CA	FIBER
95126	San Jose	CA	FIBER
94303	Palo Alto	CA	FIBER
95818	Sacramento	CA	FIBER
92101	San Diego	CA	FIBER
90065	Los Angeles	CA	FIBER
92663	Newport Beach	CA	FIBER
95823	Sacramento	CA	FIBER
94553	Martinez	CA	FIBER
90061	Los Angeles	CA	FIBER
94558	Napa	CA	FIBER
95608	Carmichael	CA	FIBER
90304	Inglewood	CA	FIBER
94538	Fremont	CA	FIBER
92107	San Diego	CA	FIBER
94134	San Francisco	CA	FIBER
91214	La Crescenta	CA	FIBER
90222	Compton	CA	FIBER
90031	Los Angeles	CA	FIBER
94590	Vallejo	CA	FIBER
93230	Hanford	CA	FIBER
92102	San Diego	CA	FIBER
95648	Lincoln	CA	FIBER
95687	Vacaville	CA	FIBER
91911	Chula Vista	CA	FIBER
90042	Los Angeles	CA	FIBER
94087	Sunnyvale	CA	FIBER
94561	Oakley	CA	FIBER
93950	Pacific Grove	CA	FIBER
90034	Los Angeles	CA	FIBER
90640	Montebello	CA	FIBER
94621	Oakland	CA	FIBER
91505	Burbank	CA	FIBER
90731	San Pedro	CA	FIBER
92627	Costa Mesa	CA	FIBER
94539	Fremont	CA	FIBER
93313	Bakersfield	CA	FIBER
91770	Rosemead	CA	FIBER
91803	Alhambra	CA	FIBER
95404	Santa Rosa	CA	FIBER
94015	Daly City	CA	FIBER
92113	San Diego	CA	FIBER
92117	San Diego	CA	FIBER
93905	Salinas	CA	FIBER
93728	Fresno	CA	FIBER
90004	Los Angeles	CA	FIBER
95630	Folsom	CA	FIBER
92672	San Clemente	CA	FIBER
94805	Richmond	CA	FIBER
91913	Chula Vista	CA	FIBER
95376	Tracy	CA	FIBER
92126	San Diego	CA	FIBER
91335	Reseda	CA	FIBER
94404	San Mateo	CA	FIBER
92111	San Diego	CA	FIBER
92127	San Diego	CA	FIBER
92703	Santa Ana	CA	FIBER
92057	Oceanside	CA	FIBER
94619	Oakland	CA	FIBER
95123	San Jose	CA	FIBER
90270	Maywood	CA	FIBER
92880	Corona	CA	FIBER
95355	Modesto	CA	FIBER
90247	Gardena	CA	FIBER
93065	Simi Valley	CA	FIBER
92024	Encinitas	CA	FIBER
91350	Santa Clarita	CA	FIBER
94708	Berkeley	CA	FIBER
95204	Stockton	CA	FIBER
92114	San Diego	CA	FIBER
90045	Los Angeles	CA	FIBER
94928	Rohnert Park	CA	FIBER
94580	San Lorenzo	CA	FIBER
92054	Oceanside	CA	FIBER
33411	West Palm Beach	FL	FIBER
32828	Orlando	FL	FIBER
33027	Hollywood	FL	FIBER
33467	Lake Worth	FL	FIBER
