ZIP_Code	CITY_NAME	ST_ABBREV	SERVICE_Avail
27587	WAKE FOREST	NC	Fiber
65203	COLUMBIA	MO	Fiber
27526	FUQUAY VARINA	NC	Fiber
28540	JACKSONVILLE	NC	Fiber
27909	ELIZABETH CITY	NC	Fiber
78666	SAN MARCOS	TX	Fiber
27893	WILSON	NC	Fiber
28562	NEW BERN	NC	Fiber
63366	O FALLON	MO	Fiber
38654	OLIVE BRANCH	MS	Fiber
63385	WENTZVILLE	MO	Fiber
27520	CLAYTON	NC	Fiber
17331	HANOVER	PA	Fiber
28376	RAEFORD	NC	Fiber
65202	COLUMBIA	MO	Fiber
27804	ROCKY MOUNT	NC	Fiber
28306	FAYETTEVILLE	NC	Fiber
28560	NEW BERN	NC	Fiber
77346	HUMBLE	TX	Fiber
36535	FOLEY	AL	Fiber
28546	JACKSONVILLE	NC	Fiber
27834	GREENVILLE	NC	Fiber
27284	KERNERSVILLE	NC	Fiber
44691	WOOSTER	OH	Fiber
28314	FAYETTEVILLE	NC	Fiber
16001	BUTLER	PA	Fiber
37660	KINGSPORT	TN	Fiber
76522	COPPERAS COVE	TX	Fiber
27801	ROCKY MOUNT	NC	Fiber
54601	LA CROSSE	WI	Fiber
24112	MARTINSVILLE	VA	Fiber
76542	KILLEEN	TX	Fiber
76549	KILLEEN	TX	Fiber
27540	HOLLY SPRINGS	NC	Fiber
65807	SPRINGFIELD	MO	Fiber
61554	PEKIN	IL	Fiber
36330	ENTERPRISE	AL	Fiber
27870	ROANOKE RAPIDS	NC	Fiber
63376	SAINT PETERS	MO	Fiber
27858	GREENVILLE	NC	Fiber
77365	PORTER	TX	Fiber
27803	ROCKY MOUNT	NC	Fiber
37643	ELIZABETHTON	TN	Fiber
27549	LOUISBURG	NC	Fiber
65802	SPRINGFIELD	MO	Fiber
36301	DOTHAN	AL	Fiber
27889	WASHINGTON	NC	Fiber
78634	HUTTO	TX	Fiber
28348	HOPE MILLS	NC	Fiber
27536	HENDERSON	NC	Fiber
27527	CLAYTON	NC	Fiber
65109	JEFFERSON CITY	MO	Fiber
28304	FAYETTEVILLE	NC	Fiber
43040	MARYSVILLE	OH	Fiber
65616	BRANSON	MO	Fiber
31313	HINESVILLE	GA	Fiber
37601	JOHNSON CITY	TN	Fiber
28311	FAYETTEVILLE	NC	Fiber
65804	SPRINGFIELD	MO	Fiber
37659	JONESBOROUGH	TN	Fiber
27886	TARBORO	NC	Fiber
63368	O FALLON	MO	Fiber
65721	OZARK	MO	Fiber
28328	CLINTON	NC	Fiber
65775	WEST PLAINS	MO	Fiber
36303	DOTHAN	AL	Fiber
72076	JACKSONVILLE	AR	Fiber
76401	STEPHENVILLE	TX	Fiber
65201	COLUMBIA	MO	Fiber
17013	CARLISLE	PA	Fiber
22630	FRONT ROYAL	VA	Fiber
28334	DUNN	NC	Fiber
28303	FAYETTEVILLE	NC	Fiber
61401	GALESBURG	IL	Fiber
31324	RICHMOND HILL	GA	Fiber
77339	KINGWOOD	TX	Fiber
37604	JOHNSON CITY	TN	Fiber
17202	CHAMBERSBURG	PA	Fiber
37743	GREENEVILLE	TN	Fiber
29649	GREENWOOD	SC	Fiber
37664	KINGSPORT	TN	Fiber
28570	NEWPORT	NC	Fiber
28501	KINSTON	NC	Fiber
29646	GREENWOOD	SC	Fiber
27205	ASHEBORO	NC	Fiber
65803	SPRINGFIELD	MO	Fiber
63379	TROY	MO	Fiber
35173	TRUSSVILLE	AL	Fiber
72023	CABOT	AR	Fiber
27288	EDEN	NC	Fiber
46131	FRANKLIN	IN	Fiber
63367	LAKE SAINT LOUIS	MO	Fiber
22901	CHARLOTTESVILLE	VA	Fiber
27312	PITTSBORO	NC	Fiber
45036	LEBANON	OH	Fiber
70517	BREAUX BRIDGE	LA	Fiber
17268	WAYNESBORO	PA	Fiber
28390	SPRING LAKE	NC	Fiber
44483	WARREN	OH	Fiber
46725	COLUMBIA CITY	IN	Fiber
28504	KINSTON	NC	Fiber
08822	FLEMINGTON	NJ	Fiber
28374	PINEHURST	NC	Fiber
29906	BEAUFORT	SC	Fiber
27302	MEBANE	NC	Fiber
27565	OXFORD	NC	Fiber
44903	MANSFIELD	OH	Fiber
28327	CARTHAGE	NC	Fiber
44052	LORAIN	OH	Fiber
27856	NASHVILLE	NC	Fiber
27501	ANGIER	NC	Fiber
70586	VILLE PLATTE	LA	Fiber
27577	SMITHFIELD	NC	Fiber
27596	YOUNGSVILLE	NC	Fiber
27537	HENDERSON	NC	Fiber
76543	KILLEEN	TX	Fiber
28532	HAVELOCK	NC	Fiber
28590	WINTERVILLE	NC	Fiber
45331	GREENVILLE	OH	Fiber
07860	NEWTON	NJ	Fiber
36360	OZARK	AL	Fiber
77338	HUMBLE	TX	Fiber
76541	KILLEEN	TX	Fiber
28312	FAYETTEVILLE	NC	Fiber
27278	HILLSBOROUGH	NC	Fiber
65101	JEFFERSON CITY	MO	Fiber
75143	KEMP	TX	Fiber
28445	HOLLY RIDGE	NC	Fiber
17257	SHIPPENSBURG	PA	Fiber
27546	LILLINGTON	NC	Fiber
17201	CHAMBERSBURG	PA	Fiber
27948	KILL DEVIL HILLS	NC	Fiber
28659	NORTH WILKESBORO	NC	Fiber
29920	SAINT HELENA ISLAND	SC	Fiber
36542	GULF SHORES	AL	Fiber
17325	GETTYSBURG	PA	Fiber
72802	RUSSELLVILLE	AR	Fiber
17022	ELIZABETHTOWN	PA	Fiber
43512	DEFIANCE	OH	Fiber
22903	CHARLOTTESVILLE	VA	Fiber
44484	WARREN	OH	Fiber
46563	PLYMOUTH	IN	Fiber
28301	FAYETTEVILLE	NC	Fiber
66441	JUNCTION CITY	KS	Fiber
28516	BEAUFORT	NC	Fiber
27504	BENSON	NC	Fiber
37615	JOHNSON CITY	TN	Fiber
44001	AMHERST	OH	Fiber
72761	SILOAM SPRINGS	AR	Fiber
27910	AHOSKIE	NC	Fiber
76548	HARKER HEIGHTS	TX	Fiber
28460	SNEADS FERRY	NC	Fiber
37745	GREENEVILLE	TN	Fiber
27949	KITTY HAWK	NC	Fiber
54650	ONALASKA	WI	Fiber
24333	GALAX	VA	Fiber
65608	AVA	MO	Fiber
45805	LIMA	OH	Fiber
27892	WILLIAMSTON	NC	Fiber
76234	DECATUR	TX	Fiber
45801	LIMA	OH	Fiber
08844	HILLSBOROUGH	NJ	Fiber
66030	GARDNER	KS	Fiber
28387	SOUTHERN PINES	NC	Fiber
