Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)
high speed internet carriers	USD	500000	0%	9900%	Low	0	6.00	25.04
cheap internet	USD	50000	0%	0%	High	92	6.00	25.89
affordable home internet	USD	50000	0%	0%	Medium	34	5.20	24.82
affordable internet providers	USD	50000	0%	0%	High	72	5.65	24.20
cheap home internet	USD	50000	0%	0%	Medium	34	5.20	24.82
affordable internet plans	USD	50000	0%	0%	Low	20	5.10	23.51
internet providers	USD	50000	0%	0%	High	72	7.00	28.37
home internet providers near me	USD	50000	0%	0%	High	76	7.81	30.75
best internet provider in my area	USD	50000	0%	0%	High	91	5.58	26.49
best internet provider	USD	50000	0%	0%	High	78	4.53	22.28
home internet providers	USD	50000	0%	0%	Medium	49	7.00	29.90
internet companies	USD	50000	0%	-90%	High	73	7.13	28.05
internet provider by address	USD	50000	0%	-90%	High	90	5.02	23.37
internet available by address	USD	50000	-90%	-90%	High	89	4.65	20.26
highspeed internet	USD	50000	0%	900%	Low	4	4.37	22.96
internet plans	USD	50000	0%	0%	Medium	56	5.42	21.73
inexpensive internet providers	USD	50000	0%	0%	High	72	5.65	24.20
home internet	USD	50000	0%	0%	High	96	8.03	34.99
fiber internet	USD	50000	0%	0%	Medium	38	5.03	21.59
isp by address	USD	50000	0%	-90%	High	90	5.02	23.37
broadband internet	USD	50000	0%	0%	Low	24	3.19	16.02
best internet companies	USD	50000	0%	0%	High	78	4.53	22.28
cheapest internet plans	USD	50000	0%	0%	Low	20	5.10	23.51
best isp	USD	50000	0%	0%	High	78	4.53	22.28
wifi for home	USD	50000	0%	0%	High	91	7.66	39.53
wireless internet	USD	50000	0%	-90%	High	100	5.23	19.31
home internet companies near me	USD	50000	0%	0%	High	76	7.81	30.75
provider internet	USD	50000	0%	0%	High	72	7.00	28.37
isp internet	USD	50000	0%	-90%	Medium	34	6.79	28.87
internet home internet	USD	50000	0%	0%	High	96	8.03	34.99
home internet carriers	USD	50000	0%	0%	Medium	49	7.00	29.90
inexpensive internet plans	USD	50000	0%	0%	Low	20	5.10	23.51
internet high speed internet	USD	50000	0%	900%	Low	4	4.37	22.96
inexpensive internet services	USD	50000	0%	0%	High	72	5.65	24.20
