Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)
speed test	USD	5000000	0%	0%	Low	1	0.02
internet speed test	USD	5000000	0%	0%	Low	1	0.03
speedometer test	USD	5000000	0%	0%	Low	1	0.02
speedy test	USD	5000000	0%	0%	Low	1	0.02
speedtest internet speed	USD	5000000	0%	0%	Low	1	0.02
speedcheck internet speed test	USD	5000000	0%	0%	Low	1	0.02
speedtest nt	USD	5000000	0%	0%	Low	1	0.02
speedtesttest	USD	5000000	0%	0%	Low	1	0.02
inter internet speed test	USD	5000000	0%	0%	Low	1	0.03
speed test test	USD	5000000	0%	0%	Low	1	0.02
spéed test	USD	5000000	0%	0%	Low	1	0.02
high speed internet	USD	500000	0%	900%	Low	1	5.02
fiber optic internet	USD	500000	900%	900%	Low	11	4.49
wifi speed test	USD	500000	0%	0%	Low	4	0.04
test my internet speed	USD	500000	0%	0%	Low	6	0.04
internet speeds	USD	500000	0%	0%	Low	7	0.11
ookla speed test	USD	500000	0%	0%	Low	0	0.03
google speed test	USD	500000	0%	0%	Low	0	0.27
at&t fiber internet plans	USD	500000	0%	0%	Low	2	1.96
high speed internet plans	USD	500000	0%	9900%	Low	0	3.31
speed	USD	500000	0%	0%	Low	0	3.27
check internet speed test	USD	500000	0%	0%	Low	6	0.04
xfinityspeedtest	USD	500000	0%	-90%	Low	0	5.70
ookla	USD	500000	0%	0%	Low	1	4.14
measure my internet speed	USD	500000	0%	0%	Low	6	0.04
check xfinity speed	USD	500000	0%	-90%	Low	0	5.70
speedtest net ookla	USD	500000	-90%	-90%	Low	1	0.04
wifi bandwidth test	USD	500000	0%	0%	Low	4	0.04
speed test for wifi	USD	500000	0%	0%	Low	4	0.04
internet speedometer	USD	500000	0%	0%	Low	7	0.11
test my network speed	USD	500000	0%	0%	Low	6	0.04
speed test comcast	USD	500000	0%	-90%	Low	0	5.70
wireless internet speed test	USD	500000	0%	0%	Low	4	0.04
comcast internet speed test	USD	500000	0%	-90%	Low	0	5.70
bandwidth test google	USD	500000	0%	0%	Low	0	0.27
comcast speed check	USD	500000	0%	-90%	Low	0	5.70
test speed xfinity	USD	500000	0%	-90%	Low	0	5.70
by speed test	USD	500000	-90%	0%	Low	1	0.04
check my speed xfinity	USD	500000	0%	-90%	Low	0	5.70
comcast test speed	USD	500000	0%	-90%	Low	0	5.70
google speed meter	USD	500000	0%	0%	Low	0	0.27
ookla bandwidth test	USD	500000	0%	0%	Low	0	0.03
ookla s	USD	500000	0%	0%	Low	1	4.14
ookla test speed test	USD	500000	0%	0%	Low	0	0.03
s0eed test	USD	500000	0%	0%	Low	0	0.03
speed test net speed test	USD	500000	0%	0%	Low	0	0.03
speedmeter ookla	USD	500000	-90%	-90%	Low	1	0.04
speedtest ookla speed test	USD	500000	0%	0%	Low	0	0.03
spit test internet	USD	500000	0%	0%	Low	9	0.03
test my speed xfinity	USD	500000	0%	-90%	Low	0	5.70
xfinity internet speed check	USD	500000	0%	-90%	Low	0	5.70
wifi speed	USD	50000	0%	0%	Low	7	0.08
home internet providers	USD	50000	0%	0%	Medium	58	7.25
fiber internet in my area	USD	50000	0%	0%	High	82	4.52
internet services in my area	USD	50000	0%	0%	High	81	6.19
website speed test	USD	50000	0%	0%	Low	21	2.00
internet providers at my address	USD	50000	0%	-90%	High	83	5.31
check internet speed	USD	50000	0%	0%	Low	11	0.04
broad band	USD	50000	0%	0%	Low	22	3.40
google fiber internet	USD	50000	0%	900%	Low	12	2.36
speedtest spectrum	USD	50000	0%	0%	Low	14	8.28
internet test	USD	50000	0%	0%	Low	3	0.02
check my internet speed	USD	50000	0%	0%	Low	14	0.04
wifi test	USD	50000	-90%	0%	Low	7	0.02
my internet speed	USD	50000	0%	0%	Low	9	0.05
internet fiber in my area	USD	50000	0%	0%	High	82	4.52
pagespeed insights	USD	50000	0%	0%	Low	9	2.17
fiber internet providers	USD	50000	0%	900%	Low	5	5.00
speed check	USD	50000	0%	0%	Low	8	0.02
google pagespeed insights	USD	50000	0%	0%	Low	12	2.76
network speed test	USD	50000	0%	0%	Low	2	0.03
google fiber speed test	USD	50000	0%	0%	Low	2	8.75
internet speed test free	USD	50000	0%	0%	Low	6	0.24
site speed test	USD	50000	0%	0%	Low	21	2.00
test wifi speed	USD	50000	0%	0%	Low	9	0.03
check internet connection	USD	50000	0%	0%	Low	6	0.93
pagespeed	USD	50000	0%	0%	Low	7	1.91
download speed test	USD	50000	0%	0%	Low	4	0.03
network speed	USD	50000	0%	0%	Low	4	0.04
att speedtest	USD	50000	0%	0%	Low	0	0.01
internet connection test	USD	50000	0%	0%	Low	6	0.93
bandwidth test	USD	50000	0%	0%	Low	2	0.03
high speed internet providers	USD	50000	0%	900%	Low	0	5.74
internet speed test google	USD	50000	0%	0%	Low	1	0.04
check my internet	USD	50000	-90%	-90%	Low	4	0.06
high speed internet for business	USD	50000	0%	9900%	Low	0	27.92
network test	USD	50000	0%	0%	Low	26	0.04
fiber internet plans	USD	50000	900%	9900%	Low	1	4.58
fiber optic internet providers	USD	50000	0%	900%	Low	2	4.51
spectrum internet gig	USD	50000	0%	0%	Low	6	2.85
wifi internet providers near me	USD	50000	0%	-90%	High	76	10.00
fast speed test	USD	50000	0%	0%	Low	2	0.04
dsl speed test	USD	50000	-90%	-90%	Low	2	0.05
