ZIP_Code	CITY	STATE_ABBREV	PRODUCT
79081	TX-SPEARMAN	TX	
76255	TX-NOCONA	TX	
77083	TX-SUGARLAND	TX	
77407	TX-SUGARLAND	TX	
77479	TX-SUGARLAND	TX	
77406	TX-SUGARLAND	TX	
77459	TX-SUGARLAND	TX	
77477	TX-SUGARLAND	TX	
77478	TX-SUGARLAND	TX	
77498	TX-SUGARLAND	TX	
79323	TX-DENVER CITY	TX	
78028	TX-KERRVILLE	TX	
79029	TX-DUMAS	TX	
79058	TX-DUMAS	TX	
79853	TX-FABENS	TX	
75954	TX-JOAQUIN	TX	
76310	TX-HOLLIDAY	TX	
76366	TX-HOLLIDAY	TX	
78624	TX-KERRVILLE	TX	
79033	TX-PERRYTON	TX	
79070	TX-PERRYTON	TX	
79093	TX-PERRYTON	TX	
79095	TX-WELLINGTON	TX	
79251	TX-WELLINGTON	TX	
79316	TX-BROWNFIELD	TX	
79378	TX-BROWNFIELD	TX	
79714	TX-ANDREWS	TX	
79838	TX-FABENS	TX	
75417	TX-BOGATA	TX	
75831	TX-BUFFALO	TX	
76626	TX-BLOOMING GROVE	TX	
76857	TX-MAY	TX	
77514	TX-ANAHUAC	TX	
77560	TX-HANKAMER	TX	
79022	TX-DALHART	TX	
79329	TX-IDALOU	TX	
79345	TX-MEADOW	TX	
79358	TX-ROPESVILLE	TX	
79504	TX-BAIRD	TX	
75102	TX-BLOOMING GROVE	TX	
75426	TX-CLARKSVILLE	TX	
75481	TX-BOGATA	TX	
75487	TX-BOGATA	TX	
75656	TX-HUGHES SPRINGS	TX	
75835	TX-CROCKETT	TX	
75849	TX-CROCKETT	TX	
75901	TX-HUNTINGTON	TX	
75949	TX-HUNTINGTON	TX	
76033	TX-GLEN ROSE	TX	
76043	TX-GLEN ROSE	TX	
76048	TX-GLEN ROSE	TX	
76049	TX-ACTON	TX	
76050	TX-GRANDVIEW	TX	
76070	TX-GLEN ROSE	TX	
76077	TX-GLEN ROSE	TX	
76363	TX-MUNDAY	TX	
76371	TX-MUNDAY	TX	
76380	TX-SEYMOUR	TX	
76388	TX-HASKELL	TX	
76483	TX-THROCKMORTON	TX	
76534	TX-ROGERS	TX	
76569	TX-ROGERS	TX	
76638	TX-CRAWFORD	TX	
76648	TX-HUBBARD	TX	
76657	TX-CRAWFORD	TX	
76660	TX-MALONE	TX	
76670	TX-MILFORD	TX	
76673	TX-MOUNT CALM	TX	
76676	TX-MALONE	TX	
76689	TX-VALLEY MILLS	TX	
77538	TX-HANKAMER	TX	
77622	TX-HAMSHIRE	TX	
77629	TX-WINNIE	TX	
77661	TX-WINNIE	TX	
77665	TX-WINNIE	TX	
77705	TX-WINNIE	TX	
77830	TX-IOLA	TX	
77861	TX-IOLA	TX	
79005	TX-BOOKER	TX	
79014	TX-HIGGINS	TX	
79019	TX-CLAUDE	TX	
79024	TX-DARROUZETT	TX	
79027	TX-DIMMITT	TX	
79035	TX-FRIONA	TX	
79043	TX-HART	TX	
79045	TX-DIMMITT	TX	
79046	TX-HIGGINS	TX	
79056	TX-HIGGINS	TX	
79082	TX-DIMMITT	TX	
79083	TX-SUNRAY	TX	
79084	TX-STRATFORD	TX	
79086	TX-SUNRAY	TX	
79237	TX-HEDLEY	TX	
79245	TX-MEMPHIS	TX	
79250	TX-PETERSBURG	TX	
79311	TX-ABERNATHY	TX	
79322	TX-CROSBYTON	TX	
79339	TX-LITTLEFIELD	TX	
79356	TX-POST	TX	
79357	TX-RALLS	TX	
79363	TX-SHALLOWATER	TX	
79372	TX-SUNDOWN	TX	
79373	TX-TAHOKA	TX	
79381	TX-WILSON	TX	
79382	TX-WOLFFORTH	TX	
79403	TX-IDALOU	TX	
79415	TX-SHALLOWATER	TX	
79424	TX-WOLFFORTH	TX	
79502	TX-ASPERMONT	TX	
79510	TX-CLYDE	TX	
79521	TX-HASKELL	TX	
79529	TX-KNOX CITY	TX	
79539	TX-KNOX CITY	TX	
79544	TX-ROCHESTER	TX	
79547	TX-RULE	TX	
79548	TX-RULE	TX	
79601	TX-CLYDE	TX	
79855	TX-VAN HORN	TX	
75503	TX-TEXARKANA	TX	
75760	TX-CUSHING	TX	
75784	TX-REKLAW	TX	
75856	TX-PENNINGTON	TX	
75859	TX-STREETMAN	TX	
