Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)
mediacom internet	USD	500000	0%	0%	High	84	2.60	7.80
mediacom cable internet	USD	300000	0%	0%	High	83	2.50	7.50
mediacom internet plans	USD	250000	0%	0%	High	83	2.40	7.20
mediacom internet service	USD	220000	0%	0%	High	83	2.50	7.50
mediacom high speed internet	USD	200000	0%	0%	High	83	2.55	7.65
mediacom internet deals	USD	180000	0%	0%	High	86	3.20	9.60
mediacom internet near me	USD	160000	0%	0%	High	83	2.45	7.35
mediacom internet in my area	USD	150000	0%	0%	High	83	2.50	7.50
mediacom internet availability	USD	140000	0%	0%	High	82	2.40	7.20
mediacom wifi	USD	200000	0%	0%	Medium	72	2.10	6.30
mediacom internet speed	USD	180000	0%	0%	High	81	2.40	7.20
mediacom internet promotions	USD	120000	0%	0%	High	85	3.10	9.30
mediacom internet promo	USD	110000	0%	0%	High	84	3.00	9.00
mediacom new customer deals	USD	100000	0%	0%	High	86	3.30	9.90
mediacom 1 gig internet	USD	80000	0%	0%	High	83	2.80	8.40
mediacom gigabit internet	USD	70000	0%	0%	High	82	2.70	8.10
mediacom gig internet	USD	65000	0%	0%	High	82	2.75	8.25
mediacom internet speed test	USD	200000	0%	0%	Medium	60	1.80	5.40
mediacom outage	USD	400000	0%	0%	Low	20	0.50	1.50
mediacom outage map	USD	350000	0%	0%	Low	18	0.48	1.44
mediacom internet outage	USD	300000	0%	0%	Low	19	0.49	1.47
mediacom customer service	USD	500000	0%	0%	Low	28	0.70	2.10
mediacom customer service number	USD	350000	0%	0%	Low	26	0.65	1.95
mediacom support	USD	250000	0%	0%	Low	24	0.60	1.80
mediacom modem	USD	200000	0%	0%	Medium	62	2.00	6.00
mediacom router	USD	180000	0%	0%	Medium	61	1.95	5.85
mediacom equipment	USD	150000	0%	0%	Medium	60	1.90	5.70
mediacom cable	USD	300000	0%	0%	High	83	2.60	7.80
mediacom cable tv	USD	250000	0%	0%	High	82	2.50	7.50
mediacom tv plans	USD	200000	0%	0%	High	82	2.55	7.65
mediacom internet and tv bundle	USD	180000	0%	0%	High	83	2.70	8.10
mediacom bundle	USD	160000	0%	0%	High	83	2.65	7.95
mediacom internet tv phone bundle	USD	140000	0%	0%	High	83	2.60	7.80
mediacom service area	USD	150000	0%	0%	High	81	2.30	6.90
mediacom coverage map	USD	130000	0%	0%	High	80	2.25	6.75
mediacom internet by address	USD	120000	0%	0%	High	81	2.35	7.05
mediacom internet check availability	USD	100000	0%	0%	High	80	2.30	6.90
mediacom no contract internet	USD	80000	0%	0%	High	79	2.70	8.10
mediacom month to month internet	USD	70000	0%	0%	High	78	2.60	7.80
mediacom internet 100 mbps	USD	60000	0%	0%	High	80	2.50	7.50
mediacom internet 200 mbps	USD	55000	0%	0%	High	81	2.55	7.65
mediacom internet 500 mbps	USD	50000	0%	0%	High	82	2.65	7.95
mediacom internet unlimited data	USD	90000	0%	0%	High	80	2.60	7.80
mediacom internet review	USD	120000	0%	0%	Medium	68	1.90	5.70
mediacom internet vs spectrum	USD	50000	0%	0%	High	82	2.90	8.70
mediacom internet vs cox	USD	40000	0%	0%	High	81	2.80	8.40
mediacom internet gaming	USD	40000	0%	0%	Medium	70	2.20	6.60
mediacom internet upload speed	USD	80000	0%	0%	Medium	70	2.15	6.45
mediacom internet latency	USD	50000	0%	0%	Medium	68	2.10	6.30
mediacom internet streaming	USD	60000	0%	0%	Medium	70	2.10	6.30
mediacom internet for apartments	USD	60000	0%	0%	Medium	69	2.20	6.60
mediacom business internet	USD	100000	0%	0%	High	84	4.20	12.60
mediacom business plans	USD	80000	0%	0%	High	83	4.00	12.00
mediacom internet iowa	USD	60000	0%	0%	High	82	2.70	8.10
mediacom internet iowa city	USD	50000	0%	0%	High	81	2.65	7.95
mediacom internet des moines	USD	55000	0%	0%	High	82	2.70	8.10
mediacom internet columbia mo	USD	45000	0%	0%	High	81	2.60	7.80
mediacom internet kalamazoo	USD	40000	0%	0%	High	80	2.55	7.65
mediacom internet macon ga	USD	35000	0%	0%	High	79	2.50	7.50
mediacom internet sioux falls	USD	35000	0%	0%	High	79	2.50	7.50
mediacom internet augusta ga	USD	35000	0%	0%	High	79	2.50	7.50
mediacom internet self install	USD	80000	0%	0%	Medium	65	2.00	6.00
mediacom internet installation	USD	70000	0%	0%	Medium	64	1.95	5.85
mediacom internet installation cost	USD	60000	0%	0%	Medium	63	1.90	5.70
mediacom internet plans by address	USD	500	0%	0%	High	82	2.45	7.35
mediacom internet availability by zip code	USD	500	0%	0%	High	80	2.30	6.90
mediacom internet pricing for new customers	USD	500	0%	0%	High	85	3.30	9.90
mediacom internet no contract plans	USD	500	0%	0%	High	79	2.70	8.10
mediacom internet upload speeds	USD	500	0%	0%	Medium	70	2.15	6.45
mediacom internet 1 gig plan price	USD	500	0%	0%	High	82	2.80	8.40
mediacom internet for gaming latency	USD	500	0%	0%	Medium	70	2.20	6.60
mediacom internet for streaming	USD	500	0%	0%	Medium	70	2.15	6.45
mediacom internet installation fee	USD	500	0%	0%	Medium	63	1.90	5.70
mediacom internet modem router fees	USD	500	0%	0%	Medium	62	1.95	5.85
mediacom internet unlimited data plans	USD	500	0%	0%	High	80	2.60	7.80
mediacom internet deals near me	USD	500	0%	0%	High	85	3.20	9.60
mediacom internet check availability by zip	USD	500	0%	0%	High	80	2.35	7.05
mediacom internet business pricing	USD	500	0%	0%	High	84	4.20	12.60
mediacom internet customer reviews	USD	500	0%	0%	Medium	68	1.90	5.70
mediacom internet outage map	USD	500	0%	0%	Low	19	0.49	1.47
mediacom internet for apartments	USD	500	0%	0%	Medium	69	2.20	6.60
mediacom internet vs cable internet	USD	500	0%	0%	High	82	2.90	8.70
mediacom internet promotional pricing	USD	500	0%	0%	High	85	3.20	9.60
mediacom internet address lookup	USD	500	0%	0%	High	81	2.35	7.05
mediacom internet gigabit plan	USD	500	0%	0%	High	82	2.75	8.25
