Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)
optimum internet	USD	500000	0%	0%	Medium	65	1.55	15.35
0ptimum	USD	500000	0%	0%	Medium	35	1.04	60.68
customer service optimum	USD	500000	-90%	-90%	Medium	47	0.57	3.00
log into optimum	USD	500000	0%	0%	Low	0	0.86	8.17
customer service number for optimum	USD	500000	-90%	-90%	Medium	47	0.57	3.00
customer support optimum	USD	500000	-90%	-90%	Medium	47	0.57	3.00
optimum service customer service	USD	500000	-90%	-90%	Medium	47	0.57	3.00
landline phone service	USD	50000	0%	0%	High	90	1.72	7.08
home phone service	USD	50000	0%	0%	High	95	2.51	8.08
optimum cable	USD	50000	0%	0%	Medium	54	1.96	36.00
optimum internet plans	USD	50000	0%	0%	Low	30	2.00	103.79
house phone service	USD	50000	0%	0%	High	95	2.51	8.08
optimum internet phone number	USD	50000	0%	0%	Medium	50	0.68	7.04
landline service	USD	50000	0%	0%	High	90	1.72	7.08
optimum tv packages	USD	50000	-90%	-90%	Low	31	1.39	14.78
optimum cable packages	USD	50000	-90%	-90%	Low	31	1.39	14.78
home telephone service	USD	50000	0%	0%	High	90	1.72	7.08
landline telephone service	USD	50000	0%	0%	High	90	1.72	7.08
landline home phone service	USD	50000	0%	0%	High	90	1.72	7.08
optimumonline	USD	50000	0%	0%	Medium	34	1.53	38.04
optimum cable phone number	USD	50000	0%	0%	Medium	50	0.68	7.04
optimum internet pay bill	USD	50000	0%	0%	Low	0	0.43	6.46
mobile optimum	USD	50000	0%	0%	Medium	59	0.95	9.25
optimum network	USD	50000	0%	0%	Low	11	0.56	4.77
optimum cable tv packages	USD	50000	-90%	-90%	Low	31	1.39	14.78
land phone service	USD	50000	0%	0%	High	90	1.72	7.08
optimum tv plans	USD	50000	-90%	-90%	Low	31	1.39	14.78
home phone line service	USD	50000	0%	0%	High	90	1.72	7.08
optimum television packages	USD	50000	-90%	-90%	Low	31	1.39	14.78
optimum cable tv plans	USD	50000	-90%	-90%	Low	31	1.39	14.78
phone number of optimum	USD	50000	0%	0%	Medium	50	0.68	7.04
landline phone service for home	USD	50000	0%	0%	High	95	2.51	8.08
optimum phone service number	USD	50000	0%	0%	Medium	43	0.41	3.00
optimum cable customer service number	USD	50000	0%	0%	Medium	43	0.41	3.00
phone line landline	USD	50000	0%	0%	High	100	0.36	5.34
optimum cable pay bill	USD	50000	0%	0%	Low	0	0.43	6.46
optimum cable payment	USD	50000	0%	0%	Low	0	0.43	6.46
optimum internet log in	USD	50000	0%	0%	Low	0	0.24	1.38
optimum my	USD	50000	0%	0%	Low	7	3.37	9.16
optimum tv pay bill	USD	50000	0%	0%	Low	0	0.43	6.46
optimum wifi	USD	5000	0%	-90%	Medium	67	2.40	79.64
altice mobile	USD	5000	0%	0%	Medium	40	1.50	12.52
home phone service providers	USD	5000	0%	0%	Medium	50	2.24	9.94
optimum en español	USD	5000	0%	0%	Medium	63	2.60	8.26
optimum fiber	USD	5000	0%	0%	Medium	56	1.86	53.95
optimum phone service	USD	5000	0%	0%	Medium	61	1.55	10.56
optimum tv	USD	5000	0%	0%	Medium	36	1.07	15.31
optimum wifi plans	USD	5000	0%	0%	Low	27	1.84	159.99
optimum home internet	USD	5000	0%	0%	Medium	41	1.61	189.44
optimum internet customer service	USD	5000	0%	0%	Medium	49	0.45	3.00
cheap home phone service	USD	5000	0%	0%	High	95	1.53	5.96
optimum fiber internet	USD	5000	0%	0%	Medium	49	1.74	42.71
optimum packages	USD	5000	0%	0%	Medium	54	1.69	16.28
optimum mobile plans	USD	5000	0%	0%	Medium	39	1.07	12.34
optimum plans	USD	5000	0%	0%	Medium	56	1.85	36.44
optimum cell phone	USD	5000	0%	0%	High	83	0.70	6.05
optimum phone plans	USD	5000	0%	900%	High	93	1.76	13.13
optimum phones	USD	5000	0%	0%	High	77	0.83	12.75
optimum deals	USD	5000	-90%	-90%	Medium	56	0.93	109.69
optimum cable tv	USD	5000	0%	0%	Low	28	1.57	12.56
optimum altice	USD	5000	0%	0%	Medium	39	2.00	75.02
optimum cell phone service	USD	5000	900%	900%	Medium	62	0.95	9.00
optimum cablevision	USD	5000	0%	0%	Medium	39	0.95	43.24
home phone line	USD	5000	0%	900%	High	97	2.18	7.46
optimum promotions	USD	5000	-90%	0%	Medium	54	0.65	69.81
optimum high speed internet	USD	5000	-90%	0%	Low	33	0.93	21.12
optimum internet deals	USD	5000	0%	0%	Low	19	1.02	46.09
optimum internet provider	USD	5000	0%	0%	Medium	41	2.16	36.61
optimum internet packages	USD	5000	0%	0%	Low	19	1.02	46.09
optimum internet prices	USD	5000	0%	0%	Medium	37	0.92	19.66
optimum stream	USD	5000	0%	0%	Low	23	1.52	17.23
home phone providers	USD	5000	0%	-90%	Medium	43	1.86	8.12
cablevision customer service	USD	5000	0%	0%	Medium	51	0.66	4.71
optimum mobile phone	USD	5000	0%	0%	High	90	0.95	9.01
optimum mobile service	USD	5000	900%	900%	Medium	62	0.95	9.00
optimum cable customer service	USD	5000	0%	0%	Medium	53	0.38	3.00
optimum services	USD	5000	0%	900%	Low	14	1.92	46.07
optimum tv and internet packages	USD	5000	900%	900%	Low	28	1.69	21.92
optimum internet specials	USD	5000	0%	0%	Low	19	1.02	46.09
optimum fiber internet plans	USD	5000	0%	900%	Low	4	0.83	30.18
optimum internet company	USD	5000	0%	0%	Medium	41	2.16	36.61
optimum internet for home	USD	5000	0%	0%	Medium	41	1.61	189.44
optimum internet speeds	USD	5000	-90%	0%	Low	33	0.93	21.12
optimum internet cost	USD	5000	0%	0%	Medium	37	0.92	19.66
optimum basic tv package	USD	5000	0%	0%	Low	16	0.79	13.79
optimum mobile phone service	USD	5000	900%	900%	Medium	62	0.95	9.00
optimum telephone service	USD	5000	0%	0%	Medium	61	1.55	10.56
optimum tv packages prices	USD	5000	0%	0%	Medium	46	1.69	9.98
house phone line	USD	5000	0%	900%	High	97	2.18	7.46
optimum basic package	USD	5000	0%	0%	Low	16	0.79	13.79
