ZIP_Code	CITY_NAME	ST_ABBREV	SERVICE_Avail
10459	Bronx	New York	8 GIG
10472	Bronx	New York	8 GIG
10473	Bronx	New York	8 GIG
10474	Bronx	New York	8 GIG
11203	Brooklyn	New York	8 GIG
11213	Brooklyn	New York	8 GIG
11218	Brooklyn	New York	8 GIG
11225	Brooklyn	New York	8 GIG
11226	Brooklyn	New York	8 GIG
11510	Baldwin	New York	8 GIG
11710	Bellmore	New York	8 GIG
11714	Bethpage	New York	8 GIG
11554	East Meadow	New York	8 GIG
11732	East Norwich	New York	8 GIG
11003	Elmont	New York	8 GIG
11010	Franklin Square	New York	8 GIG
11545	Glen Head	New York	8 GIG
11547	Glenwood Landing	New York	8 GIG
11557	Hewlett	New York	8 GIG
11801	Hicksville	New York	8 GIG
11096	Inwood	New York	8 GIG
11753	Jericho	New York	8 GIG
11756	Levittown	New York	8 GIG
11560	Locust Valley	New York	8 GIG
11758	Massapequa	New York	8 GIG
11566	Merrick	New York	8 GIG
11572	Oceanside	New York	8 GIG
11804	Old Bethpage	New York	8 GIG
11771	Oyster Bay	New York	8 GIG
11803	Plainview	New York	8 GIG
11569	Point Lookout	New York	8 GIG
11575	Roosevelt	New York	8 GIG
11783	Seaford	New York	8 GIG
11791	Syosset	New York	8 GIG
11553	Uniondale	New York	8 GIG
11556	Uniondale	New York	8 GIG
11793	Wantagh	New York	8 GIG
11552	West Hempstead	New York	8 GIG
11797	Woodbury	New York	8 GIG
11598	Woodmere	New York	8 GIG
11207	Brooklyn	New York	8 GIG
11208	Brooklyn	New York	8 GIG
11209	Brooklyn	New York	8 GIG
11211	Brooklyn	New York	8 GIG
11212	Brooklyn	New York	8 GIG
11215	Brooklyn	New York	8 GIG
11233	Brooklyn	New York	8 GIG
11236	Brooklyn	New York	8 GIG
11237	Brooklyn	New York	8 GIG
11713	Bellport	New York	8 GIG
11715	Blue Point	New York	8 GIG
11719	Brookhaven	New York	8 GIG
11934	Center Moriches	New York	8 GIG
11720	Centereach	New York	8 GIG
11727	Coram	New York	8 GIG
11940	East Moriches	New York	8 GIG
11733	East Setauket	New York	8 GIG
11941	Eastport	New York	8 GIG
11738	Farmingville	New York	8 GIG
11742	Holtsville	New York	8 GIG
11949	Manorville	New York	8 GIG
11950	Mastic	New York	8 GIG
11951	Mastic Beach	New York	8 GIG
11763	Medford	New York	8 GIG
11953	Middle Island	New York	8 GIG
11764	Miller Place	New York	8 GIG
11955	Moriches	New York	8 GIG
11766	Mount Sinai	New York	8 GIG
11772	Patchogue	New York	8 GIG
11777	Port Jefferson	New York	8 GIG
11776	Port Jefferson Station	New York	8 GIG
11961	Ridge	New York	8 GIG
11778	Rocky Point	New York	8 GIG
11779	Ronkonkoma	New York	8 GIG
11784	Selden	New York	8 GIG
11967	Shirley	New York	8 GIG
11786	Shoreham	New York	8 GIG
11789	Sound Beach	New York	8 GIG
11790	Stony Brook	New York	8 GIG
11794	Stony Brook	New York	8 GIG
11980	Yaphank	New York	8 GIG
11507	Albertson	New York	8 GIG
11709	Bayville	New York	8 GIG
11514	Carle Place	New York	8 GIG
11721	Centerport	New York	8 GIG
11724	Cold Spring Harbor	New York	8 GIG
11731	East Northport	New York	8 GIG
11542	Glen Cove	New York	8 GIG
11020	Great Neck	New York	8 GIG
11021	Great Neck	New York	8 GIG
11023	Great Neck	New York	8 GIG
11024	Great Neck	New York	8 GIG
11740	Greenlawn	New York	8 GIG
11548	Greenvale	New York	8 GIG
11743	Huntington	New York	8 GIG
11746	Huntington Station	New York	8 GIG
11030	Manhasset	New York	8 GIG
11747	Melville	New York	8 GIG
11765	Mill Neck	New York	8 GIG
11040	New Hyde Park	New York	8 GIG
11042	New Hyde Park	New York	8 GIG
11568	Old Westbury	New York	8 GIG
11050	Port Washington	New York	8 GIG
11576	Roslyn	New York	8 GIG
11577	Roslyn Heights	New York	8 GIG
11579	Sea Cliff	New York	8 GIG
11590	Westbury	New York	8 GIG
10464	Bronx	New York	8 GIG
10466	Bronx	New York	8 GIG
10470	Bronx	New York	8 GIG
10475	Bronx	New York	8 GIG
11930	Amagansett	New York	8 GIG
