Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)
speedtest internet speed	USD	5000000	0%	0%	Low	1	0.03	4.71
xfinityspeedtest	USD	500000	-90%	-90%	Low	0	5.70	19.05
comcast check internet speed	USD	500000	-90%	-90%	Low	0	5.70	19.05
comcast cable speed	USD	500000	-90%	-90%	Low	0	5.70	19.05
myspeed xfinity	USD	500000	-90%	-90%	Low	0	5.70	19.05
xfinity network speed	USD	500000	-90%	-90%	Low	0	5.70	19.05
comcast network speed	USD	500000	-90%	-90%	Low	0	5.70	19.05
bandwidth test comcast	USD	500000	-90%	-90%	Low	0	5.70	19.05
bandwidth test xfinity	USD	500000	-90%	-90%	Low	0	5.70	19.05
check my speed comcast	USD	500000	-90%	-90%	Low	0	5.70	19.05
checking speed of my internet	USD	500000	0%	0%	Low	6	0.04	4.80
comcast internet speeds test	USD	500000	-90%	-90%	Low	0	5.70	19.05
comcast network speed test	USD	500000	-90%	-90%	Low	0	5.70	19.05
comcast test my speed	USD	500000	-90%	-90%	Low	0	5.70	19.05
ookla speed test xfinity	USD	500000	-90%	-90%	Low	0	5.70	19.05
wifi test internet speed	USD	500000	0%	0%	Low	4	0.03	5.00
xfinity internet speed check	USD	500000	-90%	-90%	Low	0	5.70	19.05
xfinity net speed	USD	500000	-90%	-90%	Low	0	5.70	19.05
xfinity network speed test	USD	500000	-90%	-90%	Low	0	5.70	19.05
internet providers for my address	USD	50000	-90%	-90%	High	94	5.71	27.00
internet providers for my area	USD	50000	0%	0%	High	93	6.17	26.49
cable tv providers	USD	50000	-90%	-90%	Medium	58	2.17	12.49
cable providers near me	USD	50000	0%	-90%	High	79	3.63	15.89
cable tv providers in my area	USD	50000	0%	-90%	High	87	3.33	14.86
cable companies in my area	USD	50000	0%	-90%	High	87	3.33	14.86
cable internet	USD	50000	0%	900%	Low	8	4.91	18.48
internet providers by address	USD	50000	0%	-90%	High	90	5.02	23.37
cable and internet providers	USD	50000	0%	900%	Low	11	5.87	21.92
cable internet providers	USD	50000	0%	900%	Low	11	5.87	21.92
armstrong internet	USD	50000	0%	0%	Medium	42	0.81	7.91
internet services for my address	USD	50000	-90%	-90%	High	94	5.71	27.00
internet services by address	USD	50000	0%	-90%	High	90	5.02	23.37
tv cable companies	USD	50000	-90%	-90%	Medium	58	2.17	12.49
cable options near me	USD	50000	0%	-90%	High	79	3.63	15.89
cable providers in my area	USD	50000	0%	-90%	High	87	3.33	14.86
