Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)
spectrum's	USD	5000000	0%	0%	Low	27	5.29	8.31
spectrum's phone number	USD	500000	0%	0%	Medium	44	2.00	9.12
spectrummobile	USD	500000	0%	0%	Medium	44	1.00	8.37
spectruminternet	USD	500000	0%	0%	Medium	51	3.00	10.78
phone number for spectrum internet	USD	500000	0%	0%	Medium	44	2.00	9.12
spectrum internet company	USD	500000	0%	0%	Medium	51	3.00	10.78
timewarnercable	USD	500000	0%	0%	Low	4	1.88	7.00
spectrum customer number	USD	500000	0%	0%	Low	29	1.12	3.00
spectrum spectrum internet	USD	500000	0%	0%	Medium	51	3.00	10.78
internet with spectrum	USD	500000	0%	0%	Medium	51	3.00	10.78
phone number to spectrum internet	USD	500000	0%	0%	Medium	44	2.00	9.12
my spectrum mobile	USD	500000	0%	0%	Medium	44	1.00	8.37
timewarner cable	USD	500000	0%	0%	Low	4	1.88	7.00
spectrum customer services	USD	500000	0%	0%	Low	29	1.12	3.00
spectrum internet telephone number	USD	500000	0%	0%	Medium	44	2.00	9.12
time warner cable company	USD	500000	0%	0%	Low	4	1.88	7.00
telephone number for spectrum internet	USD	500000	0%	0%	Medium	44	2.00	9.12
internet spectrum internet	USD	500000	0%	0%	Medium	51	3.00	10.78
spectrum internet internet	USD	500000	0%	0%	Medium	51	3.00	10.78
internet from spectrum	USD	500000	0%	0%	Medium	51	3.00	10.78
spectrum customer services number	USD	500000	0%	0%	Low	25	1.53	3.00
spectrum customer care number	USD	500000	0%	0%	Low	25	1.53	3.00
spectrum and internet	USD	500000	0%	0%	Medium	51	3.00	10.78
spectrum internet spectrum	USD	500000	0%	0%	Medium	51	3.00	10.78
spectrum number phone	USD	500000	0%	0%	Medium	44	2.00	9.12
spectrum tv spectrum	USD	500000	0%	0%	Low	20	1.59	7.80
customer care spectrum	USD	500000	0%	0%	Low	29	1.12	3.00
spectrum phone number for spectrum	USD	500000	0%	0%	Medium	44	2.00	9.12
customer service number for spectrum internet	USD	500000	0%	0%	Low	25	1.53	3.00
spectrum customer svc	USD	500000	0%	0%	Low	29	1.12	3.00
twc time warner cable	USD	500000	0%	0%	Low	4	1.88	7.00
spectrum service customer	USD	500000	0%	0%	Low	29	1.12	3.00
spectrum number for customer service	USD	500000	0%	0%	Low	29	1.12	3.00
customer number for spectrum	USD	500000	0%	0%	Low	29	1.12	3.00
service spectrum customer service	USD	500000	0%	0%	Low	29	1.12	3.00
number for customer service for spectrum	USD	500000	0%	0%	Low	25	1.53	3.00
spectrum customer service spectrum	USD	500000	0%	0%	Low	29	1.12	3.00
spectrum wifi	USD	50000	0%	0%	Medium	53	2.85	12.78
charter internet	USD	50000	0%	-90%	Medium	56	3.15	12.78
spectrum phone plans	USD	50000	0%	0%	High	68	1.00	8.28
spectrum mobile phones	USD	50000	0%	0%	High	69	0.77	5.15
spectrum cable company	USD	50000	0%	0%	Medium	44	1.95	7.80
spectrum home internet	USD	50000	-90%	0%	Medium	49	2.85	12.78
spectrum customer service phone	USD	50000	0%	900%	Low	28	0.82	2.50
spectrum servicio al cliente	USD	50000	0%	0%	Low	24	1.05	3.00
spectrum mobile plans	USD	50000	0%	0%	Low	7	0.90	8.28
spectrum plans	USD	50000	900%	0%	Medium	48	2.12	8.28
spectrum cable packages	USD	50000	0%	0%	Low	31	1.48	7.80
spectrum cell phone	USD	50000	0%	0%	High	91	0.84	5.18
spectrum cable tv	USD	50000	0%	0%	Low	8	1.57	7.80
charter communication	USD	50000	0%	0%	Low	24	2.88	7.00
charter spectrum internet	USD	50000	0%	0%	Medium	42	2.26	7.00
spectrum internet deals	USD	50000	-90%	-90%	Low	27	2.85	10.28
spectrum phone deals	USD	50000	-90%	0%	High	95	0.90	6.00
spectrum cable and internet	USD	50000	0%	-90%	Medium	56	3.15	12.78
servicio al cliente spectrum	USD	50000	0%	0%	Low	24	1.05	3.00
charter cable company	USD	50000	0%	0%	Medium	44	1.95	7.80
spectrum internet provider	USD	50000	0%	0%	Low	19	2.75	11.12
spectrum internet specials	USD	50000	-90%	-90%	Low	27	2.85	10.28
home internet spectrum	USD	50000	-90%	0%	Medium	49	2.85	12.78
charter communications internet	USD	50000	0%	-90%	Medium	56	3.15	12.78
spectrum deal	USD	50000	-90%	-90%	Medium	54	2.57	8.83
spectrum wireless internet	USD	50000	0%	0%	Medium	53	2.85	12.78
timewarner	USD	50000	-90%	-90%	Low	22	2.85	6.30
charter spectrum cable	USD	50000	0%	0%	Medium	44	1.95	7.80
phone for spectrum	USD	50000	0%	0%	High	92	1.00	8.28
spectrum isp	USD	50000	0%	0%	Low	19	2.75	11.12
cable company spectrum	USD	50000	0%	0%	Low	8	1.57	7.80
spectrum internet special offers	USD	50000	-90%	-90%	Low	27	2.85	10.28
spectrum spectrum cable	USD	50000	0%	0%	Medium	42	2.26	7.00
spectrum cable television	USD	50000	0%	0%	Low	8	1.57	7.80
service spectrum	USD	50000	0%	0%	Medium	40	2.50	9.21
spectrum atención al cliente	USD	50000	0%	0%	Low	24	1.05	3.00
spectrum application	USD	50000	0%	0%	Low	14	0.44	1.12
spectrum internet la	USD	50000	0%	0%	Medium	37	2.84	9.21
spectrumcom	USD	50000	0%	0%	Medium	36	3.00	7.54
spectrum service provider	USD	50000	0%	0%	Low	19	2.75	11.12
isp spectrum	USD	50000	0%	0%	Low	19	2.75	11.12
spectrum call spectrum	USD	50000	0%	0%	Medium	47	1.92	13.11
deals for spectrum internet	USD	50000	-90%	-90%	Medium	54	2.57	8.83
spectrum phone packages	USD	50000	-90%	0%	High	95	0.90	6.00
cable spectrum tv	USD	50000	0%	0%	Low	8	1.57	7.80
number to spectrum internet	USD	50000	0%	0%	Medium	43	2.00	14.15
spectrum cable deal	USD	50000	0%	0%	Low	31	1.48	7.80
mobile phones spectrum	USD	50000	0%	0%	High	69	0.77	5.15
spectrum cable spectrum	USD	50000	0%	0%	Medium	42	2.26	7.00
charter communications and spectrum	USD	50000	0%	0%	Medium	42	2.26	7.00
spectrum charter spectrum	USD	50000	0%	0%	Medium	42	2.26	7.00
spectrum customer care phone number	USD	50000	0%	0%	Low	24	1.25	3.00
spectrum cable co	USD	50000	0%	0%	Medium	44	1.95	7.80
spectrum career	USD	50000	0%	0%	Low	18	1.04	4.82
spectrum for cell phones	USD	50000	0%	0%	High	91	0.84	5.18
spectrum cable spectrum cable	USD	50000	0%	0%	Medium	44	1.95	7.80
spectrum mobilecustomer service	USD	50000	0%	0%	Low	16	0.57	3.00
charter communications cable	USD	50000	0%	0%	Medium	44	1.95	7.80
wifi from spectrum	USD	50000	0%	0%	Medium	53	2.85	12.78
spectrum job	USD	50000	0%	0%	Low	16	0.86	4.13
wifi for spectrum	USD	50000	0%	0%	Medium	53	2.85	12.78
spectrum phone service customer service	USD	50000	0%	900%	Low	28	0.82	2.50
spectrum tv log in	USD	50000	0%	0%	Low	0	0.35	0.87
spectrum and charter communications	USD	50000	0%	0%	Medium	42	2.26	7.00
spectrum customer service telephone	USD	50000	0%	900%	Low	28	0.82	2.50
spectrum employment opportunities	USD	50000	0%	0%	Low	16	0.86	4.13
spectrum internet customer service telephone number	USD	50000	0%	0%	Low	24	1.25	3.00
spectrum internet jobs	USD	50000	0%	0%	Low	16	0.86	4.13
spectrum internet and phone deals	USD	50000	-90%	0%	High	95	0.90	6.00
sign in spectrum tv	USD	50000	0%	0%	Low	0	0.35	0.87
my spectrum cable	USD	50000	0%	0%	Medium	44	1.95	7.80
spectrum job opportunities	USD	50000	0%	0%	Low	18	1.04	4.82
