Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)
speed test	USD	5000000	0%	0%	Low	1	0.02	3.26
internet speed test	USD	5000000	0%	0%	Low	1	0.03	2.98
speedometer test	USD	5000000	0%	0%	Low	1	0.02	3.26
speedy test	USD	5000000	0%	0%	Low	1	0.02	3.26
speedtest internet speed	USD	5000000	0%	0%	Low	1	0.02	3.26
speedtest nt	USD	5000000	0%	0%	Low	1	0.02	3.26
speed test test	USD	5000000	0%	0%	Low	1	0.02	3.26
spéed test	USD	5000000	0%	0%	Low	1	0.02	3.26
wifi speed test	USD	500000	0%	0%	Low	4	0.04	6.14
test my internet speed	USD	500000	0%	0%	Low	6	0.04	5.42
speedtest ookla	USD	500000	-90%	-90%	Low	1	0.04	6.32
google speed test	USD	500000	0%	0%	Low	0	0.27	9.66
internetspeed	USD	500000	0%	0%	Low	7	0.11	7.15
speed	USD	500000	0%	0%	Low	0	3.27	12.75
check internet speed test	USD	500000	0%	0%	Low	6	0.04	5.42
xfinityspeedtest	USD	500000	0%	-90%	Low	0	5.70	30.37
measure my internet speed	USD	500000	0%	0%	Low	6	0.04	5.42
speedtest net ookla	USD	500000	-90%	-90%	Low	1	0.04	6.32
wifi bandwidth test	USD	500000	0%	0%	Low	4	0.04	6.14
speed test for wifi	USD	500000	0%	0%	Low	4	0.04	6.14
internet speedometer	USD	500000	0%	0%	Low	7	0.11	7.15
test my network speed	USD	500000	0%	0%	Low	6	0.04	5.42
speed test comcast	USD	500000	0%	-90%	Low	0	5.70	30.37
wireless internet speed test	USD	500000	0%	0%	Low	4	0.04	6.14
comcast internet speed test	USD	500000	0%	-90%	Low	0	5.70	30.37
bandwidth test google	USD	500000	0%	0%	Low	0	0.27	9.66
xfinity speed check	USD	500000	0%	-90%	Low	0	5.70	30.37
comcast speed check	USD	500000	0%	-90%	Low	0	5.70	30.37
test speed xfinity	USD	500000	0%	-90%	Low	0	5.70	30.37
by speed test	USD	500000	-90%	0%	Low	1	0.04	5.32
s0eed test	USD	500000	0%	0%	Low	0	0.03	0.33
speedmeter ookla	USD	500000	-90%	-90%	Low	1	0.04	6.32
speedtest ookla speed test	USD	500000	0%	0%	Low	0	0.03	0.33
test my speed xfinity	USD	500000	0%	-90%	Low	0	5.70	30.37
internet services in my area	USD	50000	0%	0%	High	81	6.19	23.69
website speed test	USD	50000	0%	0%	Low	21	2.00	10.04
check internet speed	USD	50000	0%	0%	Low	11	0.04	5.00
