Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)
tmobile near to me	USD	5000000	0%	0%	Medium	39	2.13	6.00
t mobile cell phone plans	USD	500000	-90%	900%	Low	17	1.22	8.09
t mobile wireless plans	USD	500000	0%	9900%	Low	1	1.44	10.00
t mobile phone plan	USD	500000	0%	0%	Medium	53	1.35	8.78
t mobile cell plans	USD	500000	0%	0%	Low	25	1.33	9.14
tmobile home internet plans	USD	500000	0%	900%	Low	3	2.24	206.57
tim mobile plans	USD	500000	0%	0%	Low	25	1.33	9.14
internet from t mobile	USD	500000	0%	0%	Medium	52	2.66	320.81
tmobile cell plan	USD	500000	0%	9900%	Low	1	1.44	10.00
tmobile mobile phone plans	USD	500000	0%	0%	Medium	53	1.35	8.78
t mobile mobile plan	USD	500000	0%	0%	Low	25	1.33	9.14
t mobile 1 phone plan	USD	500000	0%	0%	Medium	53	1.35	8.78
plans of t mobile	USD	500000	0%	0%	Low	25	1.33	9.14
t mobile retailers near me	USD	500000	-90%	-90%	Low	29	1.88	6.00
t mobile phones	USD	50000	0%	0%	High	96	0.84	10.20
t mobile wifi	USD	50000	0%	0%	Medium	55	3.03	283.29
tmobile family plan	USD	50000	0%	0%	Medium	61	1.41	10.12
t mobile plans for seniors	USD	50000	0%	0%	Medium	54	0.71	6.75
t mobile iphone	USD	50000	0%	0%	High	100	0.77	9.45
t mobile internet plans	USD	50000	0%	0%	Medium	42	1.86	287.40
tmobile home internet customer service	USD	50000	0%	900%	Low	7	0.01	4.16
tmobile byod	USD	50000	0%	0%	Medium	35	1.47	9.77
t mobile fiber	USD	50000	0%	900%	Medium	34	4.20	605.62
t mobile unlimited plan	USD	50000	-90%	900%	Low	4	1.58	7.97
5g home internet t mobile	USD	50000	-99%	900%	Low	3	3.29	256.76
t mobile postpaid plans	USD	50000	9900%	9900%	Low	0	1.84	8.83
free phones from t mobile	USD	50000	0%	0%	High	78	1.53	10.60
tmobile business phones	USD	50000	0%	0%	Low	33	8.00	310.95
netflix t mobile	USD	50000	0%	0%	Low	3	2.91	6.10
t mobile fiber internet	USD	50000	0%	900%	Medium	41	2.34	524.48
t mobile bring your own device	USD	50000	0%	0%	Medium	35	1.47	9.77
t mobile deals on iphone	USD	50000	0%	0%	High	97	1.15	8.33
byop t mobile	USD	50000	0%	0%	Medium	35	1.47	9.77
t mobile magenta plans	USD	50000	900%	900%	Low	1	1.78	7.27
tmobile i phone	USD	50000	0%	0%	High	100	0.77	9.45
business plans tmobile	USD	50000	-90%	-90%	Medium	42	6.02	728.55
t mobile mobile phones	USD	50000	0%	0%	High	96	0.84	10.20
iphone en t mobile	USD	50000	0%	0%	High	100	0.77	9.45
mytmobile business	USD	50000	0%	0%	Medium	37	9.48	437.03
tmobile family phone plans	USD	50000	0%	0%	Medium	61	1.41	10.12
t mobile 5g home internet plans	USD	50000	0%	900%	Low	0	2.94	266.08
tmobiles phones	USD	50000	0%	0%	High	96	0.84	10.20
netflix and tmobile	USD	50000	0%	0%	Low	3	2.91	6.10
t mobile overseas plan	USD	50000	0%	0%	Low	16	1.81	7.80
t mobile family package	USD	50000	0%	0%	Medium	61	1.41	10.12
netflix by t mobile	USD	50000	0%	0%	Low	3	2.91	6.10
netflix from t mobile	USD	50000	0%	0%	Low	3	2.91	6.10
bring device to t mobile	USD	50000	0%	0%	Medium	35	1.47	9.77
tim mobile phones	USD	50000	0%	0%	High	96	0.84	10.20
tmobile post paid plans	USD	50000	9900%	9900%	Low	0	1.84	8.83
netflix for t mobile	USD	50000	0%	0%	Low	3	2.91	6.10
international phone plan t mobile	USD	50000	0%	0%	Low	16	1.81	7.80
tmobilecareers	USD	50000	0%	0%	Low	12	0.59	1.85
t mobile international roaming plan	USD	50000	0%	0%	Low	2	2.72	7.72
t mobile postpaid offers	USD	50000	9900%	9900%	Low	0	1.84	8.83
check imei for tmobile	USD	50000	0%	0%	Low	1	0.75	6.00
t mobile and iphone	USD	50000	0%	0%	High	100	0.77	9.45
t mobile on us netflix	USD	50000	0%	900%	Low	0	2.14	5.58
tim mobile hotspot	USD	50000	0%	0%	High	99	0.93	4.95
t mobile wireless internet	USD	5000	0%	0%	Medium	41	2.72	194.04
t mobile cell phones	USD	5000	0%	0%	High	95	1.41	8.68
tmobile home internet 5g	USD	5000	0%	0%	Medium	48	2.59	159.22
t mobile plans for 1 line	USD	5000	0%	0%	High	96	1.11	5.99
team mobile internet	USD	5000	0%	0%	Medium	66	2.89	151.46
mobile home internet	USD	5000	0%	0%	High	74	5.37	48.46
t mobile home wifi	USD	5000	0%	0%	Medium	38	2.68	280.63
t mobile samsung phones	USD	5000	0%	0%	High	98	0.50	6.00
t mobile first responder	USD	5000	0%	0%	Low	33	5.56	64.79
iphone 13 pro max t mobile	USD	5000	-90%	-90%	High	100	0.47	5.00
iphone 11 t mobile	USD	5000	0%	-90%	High	99	0.46	6.00
tmobile home internet speed	USD	5000	0%	0%	Low	32	3.91	264.53
t mobile deals for seniors	USD	5000	0%	0%	High	92	0.75	8.13
tmobile home internet availability	USD	5000	0%	0%	Medium	37	3.16	401.41
t mobile hotspot box	USD	5000	0%	0%	High	68	3.02	179.60
t mobile for seniors	USD	5000	0%	0%	Medium	65	0.76	7.26
t mobile sales	USD	5000	0%	0%	High	98	2.27	10.20
tmobile individual plans	USD	5000	-90%	-90%	Medium	63	2.14	8.46
ofertas de t mobile	USD	5000	0%	0%	High	100	1.18	8.08
t mobile phone plans for seniors	USD	5000	0%	900%	High	71	0.75	6.63
tmobile phones on sale	USD	5000	0%	0%	High	100	0.41	6.35
iphone 12 t mobile	USD	5000	-90%	-90%	High	99	0.19	4.95
t mobile android phones	USD	5000	0%	0%	High	100	0.44	6.06
t mobile monthly plans	USD	5000	0%	0%	High	73	1.92	7.99
t mobile wifi plans	USD	5000	0%	0%	Medium	49	2.31	264.79
tmobile cell phones	USD	5000	0%	900%	High	95	1.28	10.56
t mobile website	USD	5000	-90%	0%	Medium	38	1.08	7.47
t mobile ipad deals	USD	5000	-90%	0%	High	88	0.24	3.85
t mobile service plans	USD	5000	-90%	-90%	Medium	55	1.58	8.02
tmobile home internet phone number	USD	5000	0%	0%	Low	9	0.04	9.99
t mobile new phones	USD	5000	0%	0%	High	100	1.27	10.20
planes t mobile	USD	5000	0%	0%	High	97	1.28	5.68
t mobile cell phone plans for seniors	USD	5000	-90%	0%	Medium	35	0.79	6.93
promociones de t mobile	USD	5000	0%	0%	High	100	2.13	6.75
t mobile phone prices	USD	5000	0%	0%	High	100	0.75	8.99
t mobile postpaid	USD	5000	0%	900%	Medium	45	2.77	10.12
samsung t mobile	USD	5000	0%	0%	High	100	1.23	7.14
tmobile home internet check	USD	5000	-90%	-90%	Low	30	5.13	766.04
t mobile wireless home internet	USD	5000	0%	900%	Low	17	2.67	281.32
t mobile smartphones	USD	5000	-90%	0%	High	93	0.79	8.86
planes de t mobile	USD	5000	0%	0%	High	99	0.75	5.46
tmobile home internet eligibility	USD	5000	0%	0%	Low	27	6.00	602.96
t mobile single line	USD	5000	0%	-90%	High	84	2.18	8.40
tienda t mobile	USD	5000	0%	0%	High	98	1.44	5.41
telefonos de t mobile	USD	5000	0%	0%	High	98	1.32	5.81
t mobile plan deals	USD	5000	0%	0%	High	91	1.56	8.34
t mobile internet deals	USD	5000	0%	0%	Medium	38	2.59	374.82
t mobile plan prices	USD	5000	0%	0%	Medium	49	1.22	7.80
t mobile new line	USD	5000	0%	0%	High	100	3.50	13.55
tmobile business lines	USD	5000	0%	0%	Medium	42	7.77	781.14
