ZIP_Code	CITY_NAME	ST_ABBREV	SERVICE_Avail
80915	COLORADO SPRINGS	CO	FIBER
80917	COLORADO SPRINGS	CO	FIBER
80918	COLORADO SPRINGS	CO	FIBER
80920	COLORADO SPRINGS	CO	FIBER
80922	COLORADO SPRINGS	CO	FIBER
80923	COLORADO SPRINGS	CO	FIBER
80951	COLORADO SPRINGS	CO	FIBER
32114	DAYTONA BEACH	FL	FIBER
32117	DAYTONA BEACH	FL	FIBER
32119	SOUTH DAYTONA	FL	FIBER
32127	PORT ORANGE	FL	FIBER
32129	PORT ORANGE	FL	FIBER
32136	FLAGLER BEACH	FL	FIBER
32137	PALM COAST	FL	FIBER
32164	PALM COAST	FL	FIBER
32174	ORMOND BEACH	FL	FIBER
32301	TALLAHASSEE	FL	FIBER
32303	TALLAHASSEE	FL	FIBER
32304	TALLAHASSEE	FL	FIBER
32305	TALLAHASSEE	FL	FIBER
32308	TALLAHASSEE	FL	FIBER
32309	TALLAHASSEE	FL	FIBER
32310	TALLAHASSEE	FL	FIBER
32311	TALLAHASSEE	FL	FIBER
32312	TALLAHASSEE	FL	FIBER
32317	TALLAHASSEE	FL	FIBER
32701	MAITLAND	FL	FIBER
32703	APOPKA	FL	FIBER
32712	APOPKA	FL	FIBER
32714	ALTAMONTE SPRINGS	FL	FIBER
32750	LONGWOOD	FL	FIBER
32751	MAITLAND	FL	FIBER
32779	LONGWOOD	FL	FIBER
32818	ORLANDO	FL	FIBER
50009	ALTOONA	IA	FIBER
50010	AMES	IA	FIBER
50014	AMES	IA	FIBER
50021	ANKENY	IA	FIBER
50023	ANKENY	IA	FIBER
50047	CARLISLE	IA	FIBER
50105	GILBERT	IA	FIBER
50111	GRIMES	IA	FIBER
50126	IOWA FALLS	IA	FIBER
50130	JEWELL	IA	FIBER
50131	JOHNSTON	IA	FIBER
50158	MARSHALLTOWN	IA	FIBER
50201	NEVADA	IA	FIBER
50211	NORWALK	IA	FIBER
50226	POLK CITY	IA	FIBER
50265	WEST DES MOINES	IA	FIBER
50266	WEST DES MOINES	IA	FIBER
50309	DES MOINES	IA	FIBER
50310	DES MOINES	IA	FIBER
50311	DES MOINES	IA	FIBER
50312	DES MOINES	IA	FIBER
50313	DES MOINES	IA	FIBER
50314	DES MOINES	IA	FIBER
50315	DES MOINES	IA	FIBER
50316	DES MOINES	IA	FIBER
50317	DES MOINES	IA	FIBER
50320	DES MOINES	IA	FIBER
50321	DES MOINES	IA	FIBER
50322	URBANDALE	IA	FIBER
50323	URBANDALE	IA	FIBER
50324	CLIVE	IA	FIBER
50325	CLIVE	IA	FIBER
50327	PLEASANT HILL	IA	FIBER
50401	MASON CITY	IA	FIBER
50441	HAMPTON	IA	FIBER
50475	SHEFFIELD	IA	FIBER
50701	WATERLOO	IA	FIBER
50702	WATERLOO	IA	FIBER
50703	WATERLOO	IA	FIBER
50707	ELK RUN HEIGHTS	IA	FIBER
51103	SIOUX CITY	IA	FIBER
51104	SIOUX CITY	IA	FIBER
51105	SIOUX CITY	IA	FIBER
51106	SIOUX CITY	IA	FIBER
51108	SIOUX CITY	IA	FIBER
51109	SIOUX CITY	IA	FIBER
52241	CORALVILLE	IA	FIBER
52246	IOWA CITY	IA	FIBER
52722	BETTENDORF	IA	FIBER
52753	LE CLAIRE	IA	FIBER
52801	DAVENPORT	IA	FIBER
52802	DAVENPORT	IA	FIBER
52803	DAVENPORT	IA	FIBER
52804	DAVENPORT	IA	FIBER
52806	DAVENPORT	IA	FIBER
52807	DAVENPORT	IA	FIBER
60112	CORTLAND	IL	FIBER
60115	DEKALB	IL	FIBER
60119	ELBURN	IL	FIBER
60124	ELGIN	IL	FIBER
60134	GENEVA	IL	FIBER
60135	GENOA	IL	FIBER
