Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)
verizon internet	USD	500000	0%	0%	Medium	41	2.78	12.95
verizon home internet	USD	500000	-90%	-90%	Medium	38	2.74	10.17
verizonhome internet	USD	500000	-90%	-90%	Medium	38	2.74	10.17
vz internet	USD	500000	0%	0%	Medium	41	2.78	12.95
verizon fios fios	USD	500000	0%	0%	Low	30	3.82	13.97
verizon fios verizon fios	USD	500000	0%	0%	Low	30	3.82	13.97
verizon customer service fios	USD	500000	0%	-90%	Low	6	0.02	3.84
verizon fios customer assistance	USD	500000	0%	-90%	Low	6	0.02	3.84
verizon fios fios customer service	USD	500000	0%	-90%	Low	6	0.02	3.84
fios internet	USD	50000	0%	0%	Medium	52	3.45	15.63
verizon wifi	USD	50000	0%	0%	Medium	45	2.89	14.00
verizon home internet plans	USD	50000	0%	0%	Low	25	2.44	12.81
verizon 5g home internet	USD	50000	0%	0%	Low	18	2.22	7.95
verizon fios internet	USD	50000	0%	0%	Low	5	5.71	34.53
fios internet plans	USD	50000	-90%	0%	Low	3	3.14	12.40
fios home internet	USD	50000	0%	900%	Low	6	2.96	12.93
verizon fios internet plans	USD	50000	-90%	0%	Low	3	3.14	12.40
fios business internet	USD	50000	0%	9900%	Low	1	18.49	53.89
verizon wi fi	USD	50000	0%	0%	Medium	45	2.89	14.00
verizon fiber internet	USD	50000	0%	0%	Low	13	2.87	19.57
verizon fios home internet	USD	50000	0%	900%	Low	6	2.96	12.93
verizon fios business internet	USD	50000	0%	9900%	Low	1	18.49	53.89
verizon fios tv packages	USD	50000	0%	900%	Low	5	7.00	10.56
verizon internet packages	USD	50000	0%	0%	Medium	35	2.17	11.55
fios internet packages	USD	50000	-90%	0%	Low	3	3.14	12.40
verizon internet offers	USD	50000	0%	0%	Medium	35	2.17	11.55
verizon wifi extender	USD	50000	-90%	0%	High	81	0.32	1.13
verizon home internet 5g	USD	50000	0%	0%	Low	18	2.22	7.95
verizon wireless home internet plans	USD	50000	0%	0%	Low	25	2.44	12.81
verizon 5g home internet plans	USD	50000	0%	900%	Low	1	2.40	7.16
verizon fios internet packages	USD	50000	-90%	0%	Low	3	3.14	12.40
verizon speed test	USD	50000	0%	0%	Low	5	10.04	14.16
verizon internet speed test	USD	50000	0%	0%	Low	5	10.04	14.16
fios plans tv	USD	50000	0%	900%	Low	5	7.00	10.56
speedtest verizon	USD	50000	0%	0%	Low	5	10.04	14.16
fios fiber optic internet	USD	50000	-90%	0%	Low	3	2.49	32.11
verizon tv fios	USD	50000	0%	0%	Low	6	2.23	12.75
verizon fios internet offers	USD	50000	-90%	0%	Low	3	3.14	12.40
verizon fios fiber internet	USD	50000	0%	0%	Low	13	2.87	19.57
verizon test speed	USD	50000	0%	0%	Low	5	10.04	14.16
verizon wifi repeater	USD	50000	-90%	0%	High	81	0.32	1.13
verizon wireless wifi extender	USD	50000	-90%	0%	High	81	0.32	1.13
verizon wifi range extender	USD	50000	-90%	0%	High	81	0.32	1.13
log into verizon fios	USD	50000	0%	0%	Low	1	0.01	0.01
verizon fios fiber optic internet	USD	50000	-90%	0%	Low	3	2.49	32.11
verizon fios isp	USD	50000	900%	900%	Low	1	5.67	35.79
test my speed verizon	USD	50000	0%	0%	Low	5	10.04	14.16
verizon fios blackout	USD	50000	0%	0%	Low	0	0.01	0.05
verizon network speed test	USD	50000	0%	0%	Low	5	10.04	14.16
isp verizon fios	USD	50000	900%	900%	Low	1	5.67	35.79
verizon fios internet providers	USD	50000	900%	900%	Low	1	5.67	35.79
verizon business internet	USD	5000	0%	-90%	Medium	49	10.84	80.90
verizon fios business	USD	5000	0%	-90%	Medium	52	17.07	50.74
verizon wifi plans	USD	5000	0%	0%	Medium	44	2.26	14.00
verizon wireless internet	USD	5000	0%	0%	Medium	40	3.08	13.93
fios business	USD	5000	0%	-90%	Medium	52	17.07	50.74
verizon internet availability	USD	5000	0%	0%	Low	27	2.12	13.89
verizon home internet availability	USD	5000	0%	0%	Low	19	2.19	9.14
verizon cable and internet	USD	5000	0%	0%	Medium	39	2.74	15.57
fios availability	USD	5000	0%	0%	Low	27	3.48	11.48
verizon internet plans for seniors	USD	5000	0%	0%	Low	22	1.74	5.29
verizon fios availability	USD	5000	0%	0%	Low	27	3.06	27.37
verizon 5g internet	USD	5000	0%	0%	Low	22	3.38	28.61
verizon wireless home internet	USD	5000	0%	0%	Medium	35	2.85	8.59
verizon 5g business internet	USD	5000	-90%	0%	Medium	40	16.49	45.23
verizon tv and internet	USD	5000	-90%	-90%	Medium	36	2.24	8.00
fios wifi	USD	5000	-90%	-90%	Medium	53	5.01	19.55
fios near me	USD	5000	0%	0%	Medium	34	7.53	11.48
verizon home	USD	5000	0%	0%	Low	28	5.00	8.00
fios in my area	USD	5000	0%	0%	Medium	40	2.78	11.66
verizon high speed internet	USD	5000	0%	0%	Low	29	2.38	12.00
verizon home wifi	USD	5000	0%	0%	Medium	34	2.62	9.42
verizon fiber	USD	5000	0%	0%	Low	30	3.47	24.45
verizon internet deals	USD	5000	0%	0%	Low	28	3.50	9.50
verizon 5g home	USD	5000	0%	0%	Low	14	3.09	7.01
verizon lte home internet	USD	5000	0%	0%	Low	5	3.05	11.98
verizon fios near me	USD	5000	0%	0%	Low	27	6.81	18.37
verizon internet in my area	USD	5000	0%	0%	Medium	36	1.79	9.71
fios deals	USD	5000	0%	0%	Low	27	8.00	18.82
verizon fios deals	USD	5000	0%	0%	Low	27	8.00	18.82
verizon residential	USD	5000	0%	0%	Low	25	3.29	8.00
verizon cable company	USD	5000	0%	0%	Medium	38	3.02	11.65
verizon home internet speed	USD	5000	0%	0%	Low	11	3.29	10.80
fios plans	USD	5000	0%	0%	Low	20	7.94	14.25
verizon tv packages prices	USD	5000	0%	0%	Low	24	4.00	11.34
fios home internet plans	USD	5000	-90%	0%	Low	18	2.17	9.19
fios internet availability	USD	5000	0%	900%	Low	3	2.86	27.37
verizon 5g home internet speed	USD	5000	0%	0%	Low	7	4.37	8.43
verizon tv and internet packages	USD	5000	0%	0%	Low	29	2.61	11.67
verizon home 5g	USD	5000	0%	-90%	Low	26	3.34	8.30
fios internet deals	USD	5000	0%	900%	Low	6	3.62	16.49
verizon online	USD	5000	0%	0%	High	81	6.50	53.44
verizon wireless internet plans	USD	5000	-90%	0%	Low	25	2.41	13.44
fios service	USD	5000	-90%	-90%	Low	30	3.54	14.25
fios fiber	USD	5000	0%	0%	Low	30	3.47	24.45
verizon fios cable	USD	5000	0%	0%	Low	22	3.02	13.13
verizon fios in my area	USD	5000	0%	0%	Medium	40	2.78	11.66
5g home internet verizon	USD	5000	-90%	0%	Low	10	3.32	8.10
verizon internet cost	USD	5000	0%	0%	Low	24	2.50	11.84
verizon internet and cable tv	USD	5000	0%	0%	Medium	39	2.74	15.57
verizon fios wifi	USD	5000	0%	0%	Low	17	4.74	16.30
verizon mobile internet	USD	5000	0%	0%	Medium	46	1.86	15.00
