Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)
vz home internet	USD	500000	-90%	-90%	Medium	38	2.74	10.17
my vz	USD	500000	0%	0%	Low	22	2.00	2.00
sign verizon	USD	500000	0%	0%	Low	3	0.01	0.25
login into verizon	USD	500000	0%	0%	Low	3	0.01	0.25
my verizo n	USD	500000	0%	0%	Low	22	2.00	2.00
gizmo watch	USD	50000	0%	0%	High	91	0.41	2.50
fios internet	USD	50000	0%	0%	Medium	52	3.45	15.63
verizon 5g home internet	USD	50000	0%	0%	Low	18	2.22	7.95
verizon fios internet	USD	50000	0%	0%	Low	5	5.71	34.53
gizmo watch for kids	USD	50000	-90%	0%	High	98	0.41	2.64
fios internet plans	USD	50000	-90%	0%	Low	3	3.14	12.40
fios home internet	USD	50000	0%	900%	Low	6	2.96	12.93
verizon fios internet plans	USD	50000	-90%	0%	Low	3	3.14	12.40
verizon apple watch	USD	50000	-90%	-90%	High	95	0.52	4.44
fios business internet	USD	50000	0%	9900%	Low	1	18.49	53.89
fios tv packages	USD	50000	0%	900%	Low	5	7.00	10.56
verizon fios business internet	USD	50000	0%	9900%	Low	1	18.49	53.89
verizon fios tv packages	USD	50000	0%	900%	Low	5	7.00	10.56
fios internet packages	USD	50000	-90%	0%	Low	3	3.14	12.40
verizon unlimited plan	USD	50000	-90%	0%	Low	20	2.54	14.99
verizon prepaid phone plans	USD	50000	0%	0%	Medium	42	1.69	6.50
phones at verizon	USD	50000	0%	0%	High	92	2.00	6.50
verizon phone deal	USD	50000	0%	0%	High	68	3.50	47.59
fios tv plans	USD	50000	0%	900%	Low	5	7.00	10.56
verizon fios internet packages	USD	50000	-90%	0%	Low	3	3.14	12.40
deals at verizon	USD	50000	0%	0%	High	91	3.00	33.09
prepaid phone verizon	USD	50000	0%	0%	High	100	0.16	5.00
fio internet plans	USD	50000	-90%	0%	Low	3	3.14	12.40
verizon pay as you go phone	USD	50000	0%	0%	High	100	0.16	5.00
fios fiber optic internet	USD	50000	-90%	0%	Low	3	2.49	32.11
fios fiber internet	USD	50000	0%	0%	Low	13	2.87	19.57
teacher verizon discount	USD	50000	-90%	0%	Low	14	2.00	6.88
verizon fios fiber internet	USD	50000	0%	0%	Low	13	2.87	19.57
verizon prepaid phones and plans	USD	50000	0%	0%	Medium	49	2.52	7.69
verizon fios and internet	USD	50000	0%	0%	Medium	52	3.45	15.63
verizon for tv	USD	50000	0%	-90%	Low	7	1.65	10.50
educator discount verizon	USD	50000	-90%	0%	Low	14	2.00	6.88
sign into verizon fios	USD	50000	0%	0%	Low	1	0.01	0.01
fios log in	USD	50000	0%	0%	Low	1	0.01	0.03
verizon fios log in	USD	50000	0%	0%	Low	1	0.01	0.01
myverizonaccount	USD	50000	0%	0%	Low	3	0.01	0.02
