Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)
verizon fios	USD	5000000	0%	0%	High	89	3.12	9.45
verizon internet	USD	4090000	0%	0%	High	91	2.89	8.77
verizon fios internet	USD	2740000	0%	0%	High	88	3.45	10.22
fios internet	USD	2240000	0%	0%	High	85	3.01	9.11
verizon home internet	USD	1830000	0%	0%	High	87	2.95	8.55
verizon 5g home internet	USD	1500000	3%	12%	High	90	3.33	9.80
verizon fios plans	USD	1220000	0%	0%	High	86	3.20	9.60
verizon internet plans	USD	1100000	0%	0%	High	88	3.10	9.30
verizon fios availability	USD	901000	0%	0%	High	84	2.80	8.40
verizon fios prices	USD	823000	0%	5%	High	85	3.00	9.00
verizon fios deals	USD	740000	0%	0%	High	87	3.50	10.50
verizon 5g home	USD	673000	5%	18%	High	89	3.25	9.75
verizon fios 1 gig	USD	550000	0%	0%	High	83	3.40	10.00
verizon fios 2 gig	USD	480000	3%	15%	High	84	3.60	10.80
fios 1 gig plan	USD	430000	0%	0%	High	82	3.30	9.90
verizon fios speed	USD	390000	0%	0%	Medium	75	2.50	7.50
verizon internet speed	USD	360000	0%	0%	Medium	74	2.40	7.20
fios internet speed test	USD	320000	0%	0%	Medium	68	1.80	5.40
verizon fios router	USD	300000	0%	0%	Medium	65	2.20	6.60
verizon fios modem	USD	270000	0%	0%	Medium	62	2.10	6.30
verizon fios review	USD	250000	0%	0%	Medium	72	2.00	6.00
verizon internet review	USD	230000	0%	0%	Medium	71	1.95	5.85
fios deals for new customers	USD	210000	0%	0%	High	86	4.00	12.00
verizon fios new customer deals	USD	195000	0%	5%	High	87	4.20	12.60
fios internet deals	USD	180000	0%	0%	High	85	3.80	11.40
verizon fios promo	USD	165000	0%	0%	High	84	3.70	11.10
verizon home internet deals	USD	150000	0%	0%	High	86	3.90	11.70
verizon fios no contract	USD	135000	0%	0%	High	82	3.20	9.60
verizon internet no contract	USD	120000	0%	0%	High	81	3.10	9.30
verizon 5g home internet plans	USD	110000	3%	20%	High	88	3.35	10.05
verizon 5g home internet review	USD	100000	5%	25%	High	80	2.90	8.70
verizon 5g home internet speed	USD	90000	5%	22%	Medium	76	2.60	7.80
verizon fios symmetrical speeds	USD	82000	0%	0%	Medium	70	2.70	8.10
verizon fios upload speed	USD	74000	0%	0%	Medium	68	2.45	7.35
verizon fios fiber internet	USD	66000	0%	0%	High	85	3.15	9.45
fios fiber internet plans	USD	60000	0%	0%	High	84	3.05	9.15
verizon fios internet for gaming	USD	55000	0%	5%	Medium	73	2.80	8.40
verizon internet gaming	USD	50000	0%	0%	Medium	72	2.75	8.25
verizon fios latency for gaming	USD	45000	0%	5%	Medium	69	2.60	7.80
fios internet low latency	USD	40000	0%	0%	Medium	67	2.50	7.50
verizon fios streaming	USD	37000	0%	0%	Medium	70	2.55	7.65
verizon fios 4k streaming	USD	33000	0%	5%	Medium	68	2.65	7.95
verizon fios for streaming and gaming	USD	30000	0%	5%	Medium	71	2.70	8.10
verizon fios internet availability by zip code	USD	28000	0%	0%	High	83	3.00	9.00
fios availability by address	USD	26000	0%	0%	High	82	2.95	8.85
verizon fios service area	USD	24000	0%	0%	High	81	2.85	8.55
fios internet in my area	USD	22000	0%	0%	High	80	2.80	8.40
fios availability check	USD	20000	0%	0%	High	79	2.75	8.25
verizon fios coverage map	USD	18000	0%	0%	High	78	2.70	8.10
